Metric,Acropora pulchra,Porites evermanni,Pocillopora tuahiniensis
Mean Methylation CV,0.598,0.617,0.439
Mean GBM Level,7.05,6.71,3.74
Mean Expression CV,0.871,0.918,0.803
Remodeling Magnitude (TP2),1.012,0.821,0.2
