group_id,species_code,species,mean_count,median_count,sd_count,n_samples
OG_00030,apul,Acropora pulchra,134.7,119.5,82.66373030351527,40
OG_00030,peve,Porites evermanni,97.36842105263159,72.5,71.24317740787025,38
OG_00030,ptua,Pocillopora tuahiniensis,328.33333333333337,301,247.59839440570028,39
OG_00171,apul,Acropora pulchra,1723.375,1772,944.6860742310929,40
OG_00171,peve,Porites evermanni,636.6842105263158,609,268.29754612643774,38
OG_00171,ptua,Pocillopora tuahiniensis,474.8205128205128,489,241.78370845326677,39
OG_00176,apul,Acropora pulchra,18.8,15.5,16.183562410906084,40
OG_00176,peve,Porites evermanni,9.657894736842106,6.5,9.662623212149564,38
OG_00176,ptua,Pocillopora tuahiniensis,25.641025641025642,20,22.21602927651822,39
OG_00246,apul,Acropora pulchra,488.075,423.5,380.2044246023177,40
OG_00246,peve,Porites evermanni,173.31578947368425,119.5,161.49907626932844,38
OG_00246,ptua,Pocillopora tuahiniensis,32,28,27.346701908331795,39
OG_00297,apul,Acropora pulchra,87.075,85.5,58.13573308678976,40
OG_00297,peve,Porites evermanni,24.657894736842106,20.5,16.727185052255624,38
OG_00297,ptua,Pocillopora tuahiniensis,170.4102564102564,154,107.57976672138335,39
OG_00298,apul,Acropora pulchra,14.95,10,18.305036437395014,40
OG_00298,peve,Porites evermanni,17.5,13.5,16.792453259916684,38
OG_00298,ptua,Pocillopora tuahiniensis,41.94871794871795,44,28.118123690816173,39
OG_00302,apul,Acropora pulchra,4.925,0,7.460623126515467,40
OG_00302,peve,Porites evermanni,1.1578947368421049,0,3.613236295782597,38
OG_00302,ptua,Pocillopora tuahiniensis,11.769230769230768,12,12.556108889514464,39
OG_00305,apul,Acropora pulchra,250.525,211,135.22933748986839,40
OG_00305,peve,Porites evermanni,115.34210526315788,93.5,85.6877664218586,38
OG_00305,ptua,Pocillopora tuahiniensis,160.46153846153845,136,95.93085397795262,39
OG_00314,apul,Acropora pulchra,7073.050000000001,6363.5,3671.431356101337,40
OG_00314,peve,Porites evermanni,1763.342105263158,1495,1330.4832342264258,38
