gene_id,n_samples,n_unique_exons,n_shifts,shift_type,TP1_predom_exon,TP2_predom_exon,TP3_predom_exon,TP4_predom_exon,TP1_mean_frac,TP2_mean_frac,TP3_mean_frac,TP4_mean_frac
FUN_036878,40,26,39,Robust shift,170435/170407/170368/170434/170414/170428/170411/170371/170373,170440/170402/170428/170399/170388/170423/170385/170369,170411/170393/170396/170402/170441/170407/170430/170400/170410,170440/170390/170379/170441/170382/170443/170399/170393,0.2,0.087,0.103,0.153
FUN_031867,40,20,39,Robust shift,144447/144438/144474/144445/144480/144476/144477/144468,144474/144471/144467/144480/144469/144466/144479,144478/144450/144465/144467/144479/144471/144442,144480/144479/144455/144447/144478/144473/144441/144468,0.186,0.118,0.128,0.249
FUN_006108,40,16,39,Robust shift,28989/28981/28988/28987/28991/28994/28995/28997,28995/28991/28984/28994/28988/28989/28986/28998,28996/28997/28991/28995/28985/28998/28987/28993,28994/28996/28998/28993/28984/28981/28992/28990,0.157,0.118,0.124,0.217
FUN_038466,40,16,39,Robust shift,181368/181375/181364/181386/181387/181382/181385/181388,181374/181388/181367/181389/181384/181381/181368/181377/181369,181388/181363/181368/181387/181375/181364,181368/181389/181387/181364/181386,0.373,0.166,0.26,0.389
FUN_038376,40,12,39,Robust shift,180684/180682/180679/180685/180687/180671,180683/180673/180685/180672/180679/180682/180671/180676,180686/180685/180687/180673/180671/180675,180675/180687/180676/180683/180686/180671,0.154,0.121,0.149,0.149
FUN_037286,40,9,39,Robust shift,172637/172629/172628/172636/172630,172636/172630/172635/172637/172645,172637/172629/172636/172640/172630,172630/172631/172637/172629/172628,0.091,0.061,0.08,0.097
FUN_018091,40,22,38,Robust shift,85957/85991/85968/85956/85980/85966/85954,85961/85959/85970/85954/85957/85968/85956/85981/85962,85982/85981/85968/85954/85960/85953/85956/85964,85954/85978/85986/85968/85957/85960/85965/85973/85967/85969,0.222,0.121,0.177,0.218
FUN_004905,40,21,38,Robust shift,23607/23612/23549/23545,23608/23593/23589/23610/23570/23571/23606/23603/23596,23611/23551/23607/23584/23544/23567/23558,23607/23611/23612/23549/23566/23610/23608/23579,0.238,0.103,0.156,0.181
FUN_008001,40,20,38,Robust shift,38110/38108/38113/38138/38104,38117/38129/38108/38126/38115/38118/38127/38111/38119,38109/38107/38127/38105/38114/38112/38108/38113/38104,38118/38116/38104/38105/38117/38106/38107/38110/38119,0.218,0.089,0.124,0.161
FUN_002584,40,18,38,Robust shift,12938/12939/12952/12961/12957/12964/12967/12949/12954,12953/12959/12950/12939/12961/12951/12957/12964/12948,12954/12948/12962/12958/12961/12938,12966/12960/12950/12939/12938/12967/12961/12951,0.219,0.109,0.179,0.193
FUN_004711,40,18,38,Robust shift,22201/22233/22182/22199/22181/22232,22199/22186/22183/22225/22181/22190/22209/22188/22211/22182,22186/22181/22214/22182/22185/22201/22184,22181/22194/22186/22188/22187/22183/22233/22182,0.097,0.062,0.08,0.095
FUN_005385,40,18,38,Robust shift,26375/26349/26351/26362/26361/26380,26361/26374/26386/26375/26360/26368/26356,26363/26349/26358/26373/26375/26361/26354,26361/26353/26368/26357/26375/26365,0.294,0.091,0.219,0.237
FUN_010949,40,18,38,Robust shift,52273/52277/52255/52269/52275/52282/52278/52276,52280/52282/52277/52275/52264/52278/52283/52272,52279/52277/52272/52281/52278/52269/52280/52275,52276/52258/52279/52253/52283/52266/52271/52277,0.177,0.143,0.194,0.32
FUN_037510,40,18,38,Robust shift,174080/174110/174100/174094/174106/174088/174090/174104,174079/174080/174097/174088/174112/174110/174095,174082/174083/174080/174079/174094/174110,174080/174110/174079/174105/174081/174109/174101,0.318,0.134,0.216,0.242
FUN_014949,40,16,38,Robust shift,71415/71413/71450/71449/71408/71411,71408/71414/71457/71411/71422/71456/71412/71409/71410,71408/71411/71459/71412/71415/71424/71409,71411/71413/71409/71410/71449/71448,0.115,0.07,0.096,0.136
FUN_006654,40,15,38,Robust shift,31724/31722/31739/31737/31714/31715/31728,31720/31725/31716/31715/31722/31721/31714,31714/31737/31736/31721/31743/31722,31718/31714/31715/31726/31737,0.146,0.09,0.117,0.126
FUN_037443,40,15,38,Robust shift,173621/173619/173617/173629/173618/173630/173626/173623,173624/173627/173626/173623/173625/173622/173629,173620/173618/173626/173619/173623/173627/173624,173627/173615/173624/173623/173626/173622/173621/173616,0.196,0.129,0.183,0.195
