species,gene_id,n_timepoints,min_consensus,mean_consensus,all_high_consensus,n_distinct_consensus,consensus_by_tp,tp1_exon,tp2_exon,tp3_exon,tp4_exon,shift_category
Porites evermanni,gene-Peve_00029666,3,1,1,TRUE,2,TP1:155100; TP3:155099; TP4:155100,155100,NA,155099,155100,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029680,4,1,1,TRUE,2,TP1:155166; TP2:155168; TP3:155168; TP4:155168,155166,155168,155168,155168,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029716,3,1,1,TRUE,2,TP1:155460; TP3:155459; TP4:155460,155460,NA,155459,155460,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029739,3,1,1,TRUE,2,TP1:155600; TP2:155601; TP3:155601,155600,155601,155601,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029773,2,1,1,TRUE,2,TP1:155709; TP2:155710,155709,155710,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029776,2,1,1,TRUE,2,TP2:155806; TP4:155805,NA,155806,NA,155805,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029877,2,1,1,TRUE,2,TP1:156302; TP2:156301,156302,156301,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029900,3,1,1,TRUE,2,TP2:156358; TP3:156357; TP4:156358,NA,156358,156357,156358,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029938,2,1,1,TRUE,2,TP1:156600; TP3:156601,156600,NA,156601,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029961,3,0.8,0.9333333333333333,TRUE,2,TP1:156707; TP2:156706; TP4:156707,156707,156706,NA,156707,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029981,2,1,1,TRUE,2,TP1:156666; TP3:156667,156666,NA,156667,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029988,3,1,1,TRUE,3,TP1:156679; TP2:156678; TP4:156680,156679,156678,NA,156680,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029991,2,1,1,TRUE,2,TP1:156687; TP4:156688,156687,NA,NA,156688,Timepoint-Coordinated
Porites evermanni,gene-Peve_00029992,4,1,1,TRUE,2,TP1:156689; TP2:156691; TP3:156689; TP4:156689,156689,156691,156689,156689,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030019,4,1,1,TRUE,2,TP1:156779; TP2:156779; TP3:156780; TP4:156780,156779,156779,156780,156780,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030021,2,1,1,TRUE,2,TP1:156784; TP4:156783,156784,NA,NA,156783,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030042,4,0.75,0.9375,TRUE,2,TP1:156986; TP2:156986; TP3:156984; TP4:156986,156986,156986,156984,156986,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030138,2,1,1,TRUE,2,TP3:157381; TP4:157380,NA,NA,157381,157380,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030234,2,1,1,TRUE,2,TP1:157954; TP3:157953,157954,NA,157953,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030252,3,1,1,TRUE,3,TP1:158058; TP3:158061; TP4:158059,158058,NA,158061,158059,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030267,3,1,1,TRUE,2,TP1:158133; TP2:158133; TP4:158134,158133,158133,NA,158134,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030283,2,1,1,TRUE,2,TP2:158245; TP4:158244,NA,158245,NA,158244,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030315,3,1,1,TRUE,2,TP1:158406; TP2:158408; TP3:158408,158406,158408,158408,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030383,3,1,1,TRUE,2,TP1:158815; TP3:158815; TP4:158814,158815,NA,158815,158814,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030384,4,1,1,TRUE,2,TP1:158819; TP2:158818; TP3:158818; TP4:158818,158819,158818,158818,158818,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030429,4,1,1,TRUE,2,TP1:158745; TP2:158746; TP3:158745; TP4:158745,158745,158746,158745,158745,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030481,3,1,1,TRUE,2,TP1:159145; TP3:159145; TP4:159143,159145,NA,159145,159143,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030495,3,1,1,TRUE,2,TP1:159285; TP2:159285; TP4:159286,159285,159285,NA,159286,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030510,3,1,1,TRUE,2,TP1:159310; TP2:159309; TP3:159310,159310,159309,159310,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030558,3,1,1,TRUE,2,TP1:159626; TP2:159626; TP3:159625,159626,159626,159625,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030691,3,1,1,TRUE,2,TP1:160178; TP2:160180; TP4:160178,160178,160180,NA,160178,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030761,4,1,1,TRUE,2,TP1:160519; TP2:160518; TP3:160519; TP4:160519,160519,160518,160519,160519,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030767,4,1,1,TRUE,2,TP1:160571; TP2:160572; TP3:160571; TP4:160572,160571,160572,160571,160572,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030770,2,1,1,TRUE,2,TP3:160583; TP4:160582,NA,NA,160583,160582,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030771,3,1,1,TRUE,2,TP2:160586; TP3:160586; TP4:160585,NA,160586,160586,160585,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030789,2,1,1,TRUE,2,TP3:160652; TP4:160651,NA,NA,160652,160651,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030807,3,1,1,TRUE,2,TP1:160731; TP2:160730; TP4:160731,160731,160730,NA,160731,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030814,3,1,1,TRUE,2,TP1:160764; TP2:160764; TP4:160763,160764,160764,NA,160763,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030815,4,1,1,TRUE,2,TP1:160765; TP2:160765; TP3:160765; TP4:160766,160765,160765,160765,160766,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030818,2,1,1,TRUE,2,TP2:160783; TP4:160785,NA,160783,NA,160785,Timepoint-Coordinated
Porites evermanni,gene-Peve_00030825,2,1,1,TRUE,2,TP3:160813; TP4:160812,NA,NA,160813,160812,Timepoint-Coordinated
