species,gene_id,n_samples,n_unique_exons,n_shifts,modal_exon,modal_fraction,shift_type
Acropora pulchra,FUN_000090,20,2,2,271,0.95,Rare shift
Acropora pulchra,FUN_000092,24,2,4,275,0.9166666666666666,Rare shift
Acropora pulchra,FUN_000094,22,2,4,279,0.9090909090909091,Rare shift
Acropora pulchra,FUN_000095,5,2,3,281,0.6,Minor shift
Acropora pulchra,FUN_000096,23,2,7,283,0.8260869565217391,Minor shift
Acropora pulchra,FUN_000098,20,2,2,287,0.95,Rare shift
Acropora pulchra,FUN_000100,24,2,4,291,0.9166666666666666,Rare shift
Acropora pulchra,FUN_000101,8,2,3,293,0.625,Minor shift
Acropora pulchra,FUN_000102,24,2,3,295,0.9166666666666666,Rare shift
Acropora pulchra,FUN_000104,27,1,0,298,1,No shift
Acropora pulchra,FUN_000105,4,2,2,300,0.75,Minor shift
Acropora pulchra,FUN_000106,27,2,6,302,0.8888888888888888,Minor shift
Acropora pulchra,FUN_000107,18,3,5,305,0.8333333333333334,Minor shift
Acropora pulchra,FUN_000108,11,2,3,308,0.8181818181818182,Minor shift
Acropora pulchra,FUN_000109,20,1,0,310,1,No shift
Acropora pulchra,FUN_000110,21,2,3,312,0.8571428571428571,Minor shift
Acropora pulchra,FUN_000111,7,2,2,314,0.8571428571428571,Minor shift
Acropora pulchra,FUN_000112,24,1,0,315,1,No shift
Acropora pulchra,FUN_000113,9,2,4,318,0.5555555555555556,Robust shift
Acropora pulchra,FUN_000114,13,2,4,319,0.5384615384615384,Robust shift
Acropora pulchra,FUN_000115,21,2,6,322,0.8571428571428571,Minor shift
Acropora pulchra,FUN_000117,21,2,2,326,0.9047619047619048,Rare shift
Acropora pulchra,FUN_000118,5,2,2,327,0.8,Minor shift
Acropora pulchra,FUN_000119,19,2,2,330,0.9473684210526315,Rare shift
Acropora pulchra,FUN_000121,30,2,2,333,0.9666666666666667,Rare shift
Acropora pulchra,FUN_000122,27,1,0,336,1,No shift
Acropora pulchra,FUN_000123,21,2,5,338,0.8571428571428571,Minor shift
Acropora pulchra,FUN_000124,5,2,2,339,0.8,Minor shift
Acropora pulchra,FUN_000125,18,2,2,342,0.9444444444444444,Rare shift
Acropora pulchra,FUN_000126,7,2,3,343,0.7142857142857143,Minor shift
Acropora pulchra,FUN_000127,19,2,2,346,0.9473684210526315,Rare shift
Acropora pulchra,FUN_000128,4,2,1,347,0.75,Minor shift
Acropora pulchra,FUN_000129,23,2,3,350,0.9130434782608695,Rare shift
Acropora pulchra,FUN_000131,23,2,2,353,0.9565217391304348,Rare shift
