species,gene_id,timepoints_observed,consistent_exon_per_tp,different_exons_across_tp
Acropora pulchra,FUN_009749,4,TRUE,TRUE
Acropora pulchra,FUN_009789,4,TRUE,TRUE
Acropora pulchra,FUN_009814,3,TRUE,TRUE
Acropora pulchra,FUN_009879,4,TRUE,TRUE
Acropora pulchra,FUN_009880,3,TRUE,TRUE
Acropora pulchra,FUN_009915,4,TRUE,TRUE
Acropora pulchra,FUN_009958,2,TRUE,TRUE
Acropora pulchra,FUN_010040,2,TRUE,TRUE
Acropora pulchra,FUN_010057,3,TRUE,TRUE
Acropora pulchra,FUN_010073,3,TRUE,TRUE
Acropora pulchra,FUN_010094,2,TRUE,TRUE
Acropora pulchra,FUN_010111,2,TRUE,TRUE
Acropora pulchra,FUN_010152,2,TRUE,TRUE
Acropora pulchra,FUN_010156,2,TRUE,TRUE
Acropora pulchra,FUN_010162,2,TRUE,TRUE
Acropora pulchra,FUN_010164,3,TRUE,TRUE
Acropora pulchra,FUN_010501,2,TRUE,TRUE
Acropora pulchra,FUN_010650,2,TRUE,TRUE
Acropora pulchra,FUN_010857,4,TRUE,TRUE
Acropora pulchra,FUN_010892,4,TRUE,TRUE
Acropora pulchra,FUN_011062,4,TRUE,TRUE
Acropora pulchra,FUN_011197,3,TRUE,TRUE
Acropora pulchra,FUN_011203,2,TRUE,TRUE
Acropora pulchra,FUN_011229,4,TRUE,TRUE
Acropora pulchra,FUN_011244,3,TRUE,TRUE
Acropora pulchra,FUN_011265,3,TRUE,TRUE
Acropora pulchra,FUN_011360,3,TRUE,TRUE
Acropora pulchra,FUN_011425,2,TRUE,TRUE
Acropora pulchra,FUN_011506,3,TRUE,TRUE
Acropora pulchra,FUN_011512,4,TRUE,TRUE
Acropora pulchra,FUN_011598,3,TRUE,TRUE
Acropora pulchra,FUN_011621,3,TRUE,TRUE
Acropora pulchra,FUN_011632,2,TRUE,TRUE
Acropora pulchra,FUN_011653,3,TRUE,TRUE
Acropora pulchra,FUN_012053,3,TRUE,TRUE
Acropora pulchra,FUN_012133,3,TRUE,TRUE
Acropora pulchra,FUN_012148,2,TRUE,TRUE
Acropora pulchra,FUN_012198,3,TRUE,TRUE
Acropora pulchra,FUN_012206,2,TRUE,TRUE
Acropora pulchra,FUN_012210,2,TRUE,TRUE
Acropora pulchra,FUN_012220,4,TRUE,TRUE
Acropora pulchra,FUN_012249,3,TRUE,TRUE
Acropora pulchra,FUN_012559,4,TRUE,TRUE
Acropora pulchra,FUN_012574,3,TRUE,TRUE
Acropora pulchra,FUN_012576,3,TRUE,TRUE
Acropora pulchra,FUN_012577,3,TRUE,TRUE
Acropora pulchra,FUN_012615,3,TRUE,TRUE
Acropora pulchra,FUN_012620,4,TRUE,TRUE
Acropora pulchra,FUN_012647,2,TRUE,TRUE
Acropora pulchra,FUN_012760,2,TRUE,TRUE
Acropora pulchra,FUN_012797,2,TRUE,TRUE
Acropora pulchra,FUN_012815,2,TRUE,TRUE
Acropora pulchra,FUN_012819,2,TRUE,TRUE
Acropora pulchra,FUN_012837,2,TRUE,TRUE
Acropora pulchra,FUN_012888,2,TRUE,TRUE
Acropora pulchra,FUN_012922,3,TRUE,TRUE
Acropora pulchra,FUN_012929,3,TRUE,TRUE
Acropora pulchra,FUN_012933,3,TRUE,TRUE
Acropora pulchra,FUN_012946,3,TRUE,TRUE
Acropora pulchra,FUN_012989,3,TRUE,TRUE
