gene_id,n_samples,n_unique_exons,n_shifts,shift_type,TP1_predom_exon,TP2_predom_exon,TP3_predom_exon,TP4_predom_exon,TP1_mean_frac,TP2_mean_frac,TP3_mean_frac,TP4_mean_frac
gene-Pocillopora_meandrina_HIv1___TS.g28951.t2,39,14,38,Robust shift,21454/21480/21478/21479/21476/21467/21475,21474/21469/21480/21479/21476/21470/21478/21472/21471,21478/21455/21472/21470/21460,21480/21467/21476/21470,0.144,0.126,0.186,0.137
gene-Pocillopora_meandrina_HIv1___TS.g3329.t1b,39,14,38,Robust shift,166395/166401/166398/166396/166404/166403/166387/166389,166393/166394/166403/166399/166404/166402,166405/166400/166389/166401/166395/166399/166396/166387,166403/166398/166396/166399/166404/166389,0.187,0.152,0.24,0.195
gene-Pocillopora_meandrina_HIv1___RNAseq.g7014.t1,39,12,38,Robust shift,33041/33048/33042/33051/33044/33043/32981/33040,33046/33043/33047/33041/33050/33045,33051/33041/33046/33040/33047/33044,33050/33045/33047/33043/33042/33051,0.052,0.044,0.06,0.061
gene-Pocillopora_meandrina_HIv1___RNAseq.g19197.t1,39,8,38,Robust shift,19402/19410/19411/19405/19407/19409,19411/19409/19406/19410/19403/19407,19409/19411/19410,19409/19410/19407/19405/19411/19403,0.394,0.381,0.347,0.393
gene-Pocillopora_meandrina_HIv1___RNAseq.g25837.t1,38,16,37,Robust shift,116671/116670/116668/116663/116666/116665,116663/116651/116662/116670/116656/116666/116669/116668,116667/116665/116664/116668/116658/116653/116662,116662/116671/116660/116669/116667/116670/116654/116656,0.102,0.107,0.199,0.269
gene-Pocillopora_meandrina_HIv1___RNAseq.g21132.t2,39,15,37,Robust shift,2163/2154/2152/2164/2173,2152/2154/2155/2168/2164/2169/2160,2153/2165/2157/2152/2171/2164,2153/2151/2157/2158/2169,0.172,0.122,0.148,0.184
gene-Pocillopora_meandrina_HIv1___RNAseq.g21351.t1,39,15,37,Robust shift,4038/4045/4040/4044/4025/4041/4035,4032/4044/4041/4034/4038/4043,4026/4041/4038/4031/4048/4044/4043,4042/4046/4040/4038/4045/4044/4043,0.151,0.132,0.151,0.172
gene-Pocillopora_meandrina_HIv1___TS.g11855.t1,39,15,37,Robust shift,170453/170469/170473/170471/170472/170470/170475/170461/170468,170462/170471/170453/170474/170470/170461/170466/170460,170475/170462/170470/170467/170469/170468,170473/170474/170470/170455/170475/170471/170472,0.168,0.129,0.198,0.166
gene-Pocillopora_meandrina_HIv1___RNAseq.g8856.t1,39,14,37,Robust shift,105910/105897/105904/105896/105900,105896/105899/105900/105897/105911/105907/105909,105905/105902/105897/105901/105896/105906/105911/105898,105898/105896/105897/105900,0.182,0.152,0.156,0.173
gene-Pocillopora_meandrina_HIv1___RNAseq.g21619.t1,39,13,37,Robust shift,5702/5690/5684/5685,5690/5691/5684/5699/5702,5692/5684/5701/5698/5691/5690/5702,5691/5702/5695/5686/5700/5696/5699,0.194,0.105,0.133,0.157
gene-Pocillopora_meandrina_HIv1___RNAseq.g28265.t1,39,13,37,Robust shift,139012/139002/139003/139013/139001/139007/139004/139005,139005/139004/139001/139014/139003/139000,139004/139008/139003/139001/139005/139009,139001/139005/139007/139003/139006/139000/139004/139002,0.17,0.167,0.165,0.169
gene-Pocillopora_meandrina_HIv1___TS.g21432.t1,38,13,37,Robust shift,147037/147030/147035/147025/147024/147028,147031/147034/147027/147032/147033/147035/147036,147035/147032/147037/147034/147025/147033,147036/147031/147037/147029/147027/147033,0.152,0.14,0.244,0.271
gene-Pocillopora_meandrina_HIv1___RNAseq.g11620.t1,38,12,37,Robust shift,131193/131192/131191/131197/131194,131200/131191/131194/131193/131196/131197/131203,131197/131199/131190/131192/131205/131191,131192/131194/131190/131197/131204,0.235,0.246,0.232,0.192
gene-Pocillopora_meandrina_HIv1___RNAseq.g6360.t1,39,11,37,Robust shift,200004/199999/200002/2e+05/200008/200007/200005,2e+05/200004/200001/200006/200003/200009/200008,200006/200007/200009/2e+05/200002/199999,200002/199999/200003/200004/200008/200001/200009,0.16,0.141,0.148,0.148
gene-Pocillopora_meandrina_HIv1___RNAseq.g1061.t1,39,10,37,Robust shift,173661/173660/173659/173654,173651/173661/173652/173659/173656/173658,173661/173652/173651/173660,173660/173659/173650/173655/173661/173656/173658,0.088,0.07,0.086,0.092
gene-Pocillopora_meandrina_HIv1___RNAseq.g15696.t1,39,9,37,Robust shift,45950/45948/45949/45951,45948/45953/45947/45949,45954/45951/45953/45949/45947/45948/45952,45953/45947/45952/45949/45963/45950/45948,0.149,0.138,0.148,0.145
gene-Pocillopora_meandrina_HIv1___TS.g10928.t1,38,19,36,Robust shift,47662/47651/47654/47669/47646/47678,47670/47686/47672/47650/47666/47662/47649/47669/47646,47649/47657/47678/47651/47679/47666/47672/47673,47662/47665/47647/47648/47666/47663/47649/47679,0.181,0.136,0.175,0.181
gene-Pocillopora_meandrina_HIv1___TS.g11736.t1,38,19,36,Robust shift,169730/169699/169701/169736/169698/169737/169707/169709,169735/169700/169724/169727/169730/169736,169698/169702/169735/169701/169706/169709/169711/169700/169732/169699,169725/169700/169701/169726/169737/169708/169699,0.133,0.124,0.16,0.171
gene-Pocillopora_meandrina_HIv1___TS.g21687.t1,39,19,36,Robust shift,123871/123874/123866/123864/123895/123908/123889,123871/123891/123885/123874/123868/123865/123867/123890,123908/123899/123871/123869/123867/123884/123898/123868/123870,123885/123868/123869/123908/123871/123895/123882,0.207,0.108,0.261,0.195
