species_code,species.x,group_id,gene_id,TP1,TP2,TP3,TP4,fc_T1_to_T2,fc_T1_to_T3,fc_T4_to_T2,fc_T4_to_T3,mean_expr,stress_response,changed_T1_T2,changed_T1_T3,changed_T4_T2,changed_T4_T3,any_stress_change,up_in_stress,down_in_stress,species.y,meth_TP1,meth_TP2,meth_TP3,meth_TP4,delta_meth_T1_T2,delta_meth_T1_T3,delta_meth_T4_T2,delta_meth_T4_T3,mean_gbm,stress_gbm,baseline_gbm,gbm_stress_change,gbm_median,gbm_category
apul,Acropora pulchra,OG_00030,FUN_000236,6.3026201318321355,7.091497936886029,7.124156488373813,6.619570883488101,0.7888778050538932,0.8215363565416771,0.47192705339792784,0.5045856048857118,6.78446136014502,0.6467317049698025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Acropora pulchra,5.196809302444445,6.3697481372,5.2360471645,5.3596693933,1.1729388347555556,0.039237862055555794,1.0100787439000003,-0.12362222879999951,5.540568499361111,5.80289765085,5.278239347872223,0.5246583029777776,0.9838498324730555,High GBM
apul,Acropora pulchra,OG_00171,FUN_000857,9.754136380819771,11.369015712619559,10.945713128970691,10.00772939244227,1.6148793317997878,1.1915767481509203,1.361286320177289,0.9379837365284214,10.519148653713074,1.2764315341641055,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Acropora pulchra,54.27341713333333,54.681202248,52.272353754,55.330055119,0.407785114666666,-2.0010633793333312,-0.6488528710000026,-3.057701365,54.13925706358334,53.476778001,54.801736126166666,-1.3249581251666669,0.9838498324730555,High GBM
apul,Acropora pulchra,OG_00176,FUN_000867,2.8867654056463556,4.43763975260558,3.389129548859885,3.563160724227151,1.5508743469592248,0.5023641432135295,0.8744790283784294,-0.17403117536726587,3.5691738578347434,0.6884215857959792,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Acropora pulchra,0.9280196484,0.308670808143,0.81564819732,0.72869288596,-0.619348840257,-0.1123714510799999,-0.420022077817,0.08695531136000001,0.69525788495575,0.5621595027315001,0.82835626718,-0.26619676444849993,0.9838498324730555,Low GBM
apul,Acropora pulchra,OG_00246,FUN_001009,8.364914205032097,8.605525919813655,9.033140547663242,8.38110927063647,0.24061171478155785,0.6682263426311454,0.22441664917718462,0.6520312770267722,8.596172485786367,0.44632149590416503,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Acropora pulchra,1.0365900134444443,0.82734171818,0.99685615014,1.06432460424,-0.20924829526444433,-0.039733863304444395,-0.23698288606000006,-0.06746845410000013,0.981278121501111,0.91209893416,1.0504573088422222,-0.13835837468222223,0.9838498324730555,Low GBM
apul,Acropora pulchra,OG_00297,FUN_001088,6.555084665425912,5.774973123140609,5.438084175254048,6.890637410805206,-0.7801115422853027,-1.117000490171864,-1.1156642876645968,-1.4525532355511581,6.164694843656443,-1.1163323889182308,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Acropora pulchra,1.2647959711222223,0.75015068089,1.2911173965,1.00249927523,-0.5146452902322223,0.026321425377777707,-0.2523485943399999,0.2886181212700001,1.0771408309355555,1.020634038695,1.133647623176111,-0.1130135844811111,0.9838498324730555,High GBM
apul,Acropora pulchra,OG_00298,FUN_001089,1.6169572737970683,3.3385012398665364,2.923555149978277,2.6499346659555463,1.721543966069468,1.3065978761812085,0.6885665739109901,0.27362048402273054,2.632237082399357,0.9975822250460995,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Acropora pulchra,1.1404219612333333,1.84650762768,1.43079501096,1.77114118957,0.7060856664466668,0.2903730497266668,0.0753664381100001,-0.34034617860999994,1.5472164473608332,1.63865131932,1.4557815754016667,0.18286974391833333,0.9838498324730555,High GBM
apul,Acropora pulchra,OG_00302,FUN_001101,0.6169925001442312,2.3432607143804476,1.4386670859637618,1.1299208018387277,1.7262682142362165,0.8216745858195306,1.21333991254172,0.30874628412503413,1.3822102755817922,1.0175072491806252,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Acropora pulchra,0.33162462028555556,0.27355554162,0.18255486669,0.5096691753570001,-0.05806907866555555,-0.14906975359555555,-0.23611363373700006,-0.3271143086670001,0.3243510509881389,0.22805520415500002,0.42064689782127784,-0.19259169366627782,0.9838498324730555,Low GBM
apul,Acropora pulchra,OG_00305,FUN_001107,7.241798689161074,8.120254646214825,8.302635458435995,7.32722620742964,0.8784559570537507,1.0608367692749212,0.7930284387851847,0.9754092510063552,7.747978750310383,0.9269326040300516,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Acropora pulchra,19.854858295555555,23.559880613,21.880052815,21.965578404,3.7050223174444454,2.025194519444444,1.594302209000002,-0.08552558899999951,21.81509253188889,22.719966714,20.91021834977778,1.809748364222223,0.9838498324730555,High GBM
apul,Acropora pulchra,OG_00314,FUN_001118,12.163196993450292,12.404415830302199,13.019248233212743,12.827608851818884,0.24121883685190681,0.8560512397624507,-0.4231930215166848,0.19163938139385905,12.603617477196028,0.21642910912288293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Acropora pulchra,1.0434923267444445,1.04007248392,1.02812576704,0.87220457579,-0.003419842824444519,-0.01536655970444456,0.16786790812999997,0.15592119124999992,0.9959737883736112,1.03409912548,0.9578484512672223,0.07625067421277776,0.9838498324730555,High GBM
apul,Acropora pulchra,OG_00355,FUN_001185,7.24149326062766,8.470988296740368,7.711907441607336,7.219473252937612,1.2294950361127075,0.4704141809796756,1.2515150438027556,0.49243418866972366,7.660965562978244,0.860964612391216,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Acropora pulchra,18.522094491111112,20.938251648,18.326466695,20.1367771512,2.4161571568888895,-0.19562779611111125,0.8014744968000009,-1.8103104561999999,19.480897496327778,19.6323591715,19.329435821155556,0.30292335034444307,0.9838498324730555,High GBM
