gene_id,timepoint,n_exons,mean_exon_expr,sd_exon_expr,max_exon,min_exon,cv_exon,exon_range,group_id,species
gene-Peve_00000077,TP1,20,6.196861701094808,1.6437791581261088,10.273765798563868,0.8285402218862249,0.2652599392101489,9.445225576677643,OG_08920,peve
gene-Peve_00000077,TP2,20,5.335336091222489,1.505073531635341,9.083000461465705,0.3906890595608518,0.2820953555505971,8.692311401904853,OG_08920,peve
gene-Peve_00000077,TP3,20,5.237427657992384,1.4178590870124854,9.080664686266537,0.9435392329255193,0.27071669139884225,8.137125453341017,OG_08920,peve
gene-Peve_00000077,TP4,20,5.537062838427218,1.4516005361175188,9.341876276397374,1.0254242989439868,0.26216074812144274,8.316451977453386,OG_08920,peve
gene-Peve_00000084,TP1,18,1.3569872392491982,0.9324722003571912,4.2528808801506495,0.4584962500721156,0.6871635733826907,3.7943846300785338,OG_08914,peve
gene-Peve_00000084,TP2,18,0.9032854493008181,0.5926093364365316,1.9128930753473337,0.1584962500721156,0.6560598722089864,1.754396825275218,OG_08914,peve
gene-Peve_00000084,TP3,18,0.815518205126616,0.7863909991731117,2.7425115273324483,0.0,0.9642838065779512,2.7425115273324483,OG_08914,peve
gene-Peve_00000084,TP4,18,0.9591473569155637,0.8247772072996006,3.1386650975270753,0.0,0.859906667471751,3.1386650975270753,OG_08914,peve
gene-Peve_00000174,TP1,20,1.5203896037118765,0.766275185491213,3.397998602471931,0.3906890595608518,0.503999227316755,3.007309542911079,OG_15682,peve
gene-Peve_00000174,TP2,20,1.6856208420387968,0.7275224904980518,3.0803802032805314,0.5643856189774724,0.4316050634602363,2.515994584303059,OG_15682,peve
gene-Peve_00000174,TP3,20,1.3812115236122149,0.5865909109863108,3.264288617677993,0.39832916674679514,0.4246930328616346,2.865959450931198,OG_15682,peve
gene-Peve_00000174,TP4,20,1.215050834808971,0.7654383148106448,3.0376815295335415,0.1111111111111111,0.6299640252755238,2.9265704184224304,OG_15682,peve
gene-Peve_00000231,TP1,12,2.8760701147028755,1.4968255559587946,5.590619413576554,0.0,0.5204412605613512,5.590619413576554,OG_11019,peve
gene-Peve_00000231,TP2,12,1.9284577423799847,1.2061228005757194,4.679277376513475,0.0,0.6254338760294516,4.679277376513475,OG_11019,peve
gene-Peve_00000231,TP3,12,1.6179815370912458,1.1369868529855465,4.224102759786439,0.0,0.7027192998936095,4.224102759786439,OG_11019,peve
gene-Peve_00000231,TP4,12,1.5721590862117056,0.991996520142333,4.102012259085633,0.0,0.6309771885316392,4.102012259085633,OG_11019,peve
gene-Peve_00000338,TP1,4,7.296260297282203,2.223354971510767,10.570036981437328,5.684454955373948,0.30472528129772847,4.88558202606338,OG_09598,peve
gene-Peve_00000338,TP2,4,6.8400121537208545,2.0515454241817017,9.83432531012445,5.338974600902825,0.2999330086081345,4.495350709221626,OG_09598,peve
gene-Peve_00000338,TP3,4,5.810796932372609,1.944295386909916,8.652060787095241,4.304233428031458,0.3346004703895305,4.347827359063783,OG_09598,peve
gene-Peve_00000338,TP4,4,7.245176872024495,2.1738461567419654,10.435668398469225,5.619908359811151,0.3000404538273936,4.815760038658074,OG_09598,peve
gene-Peve_00000340,TP1,2,9.966953464128,3.4029801686908625,12.373223817652649,7.56068311060335,0.34142631255764433,4.812540707049299,OG_09597,peve
gene-Peve_00000340,TP2,2,8.848790967684433,3.2390508623150027,11.139145797035505,6.55843613833336,0.366044454450776,4.580709658702145,OG_09597,peve
gene-Peve_00000340,TP3,2,8.692909559663427,3.113037802825774,10.8941597001316,6.491659419195251,0.3581122961719051,4.40250028093635,OG_09597,peve
gene-Peve_00000340,TP4,2,9.446077665415277,3.2878901235321907,11.770967067561166,7.12118826326939,0.3480693511096222,4.649778804291776,OG_09597,peve
