gene_id,group_id,species,TP1,TP2,TP3,TP4,delta_meth_T1_T2,delta_meth_T1_T3,delta_meth_T4_T2,delta_meth_T4_T3,abs_delta_T2,abs_delta_T3
gene-Peve_00000077,OG_08920,peve,31.811425280702693,30.810392448072722,31.265614716534024,31.9680765633505,-1.0010328326299707,-0.5458105641686686,-1.1576841152777781,-0.702461846816476,1.0010328326299707,0.5458105641686686
gene-Peve_00000084,OG_08914,peve,0.48025536504794974,0.50809697974041,0.6663523668518518,0.549402212452877,0.02784161469246027,0.1860970018039021,-0.041305232712467,0.11695015439897483,0.02784161469246027,0.1860970018039021
gene-Peve_00000174,OG_15682,peve,0.9713046676062209,0.775699304324996,0.7975154212025012,0.8839930361896746,-0.1956053632812249,-0.17378924640371973,-0.10829373186467861,-0.08647761498717343,0.1956053632812249,0.17378924640371973
gene-Peve_00000231,OG_11019,peve,1.0076002926560417,0.9854594746246828,0.9393440909461437,0.9489983119219684,-0.022140818031358922,-0.06825620170989799,0.03646116270271438,-0.00965422097582469,0.022140818031358922,0.06825620170989799
gene-Peve_00000338,OG_09598,peve,0.6967255018358185,0.6302563252785794,0.974473005988456,0.7371752037518037,-0.06646917655723905,0.2777475041526375,-0.10691887847322423,0.2372978022366523,0.06646917655723905,0.2777475041526375
gene-Peve_00000340,OG_09597,peve,0.660958754902862,0.5327963937136115,0.5416307380906417,0.609452353097996,-0.1281623611892505,-0.11932801681222038,-0.07665595938438441,-0.06782161500735429,0.1281623611892505,0.11932801681222038
gene-Peve_00000415,OG_13197,peve,1.4924774594104309,1.2454368448621056,1.5151644302626608,1.4089448490221088,-0.24704061454832527,0.022686970852229926,-0.16350800416000322,0.10621958124055197,0.24704061454832527,0.022686970852229926
gene-Peve_00000442,OG_11291,peve,0.7992096132350719,0.7399592435427969,0.8106837719836247,0.651469263590014,-0.05925036969227504,0.011474158748552843,0.08848997995278285,0.15921450839361073,0.05925036969227504,0.011474158748552843
gene-Peve_00000455,OG_05749,peve,0.3829461302380952,0.6147350454621848,0.6675332902100841,0.5581746258403362,0.23178891522408962,0.2845871599719889,0.05656041962184866,0.10935866436974795,0.23178891522408962,0.2845871599719889
gene-Peve_00000656,OG_10814,peve,0.09803921773399014,0.309034274178982,0.3818916563218391,0.8847500222085386,0.21099505644499184,0.2838524385878489,-0.5757157480295566,-0.5028583658866995,0.21099505644499184,0.2838524385878489
gene-Peve_00000682,OG_07153,peve,1.4148562546792813,1.357790841880051,1.4172151675591604,1.409880514563056,-0.057065412799230275,0.002358912879879105,-0.052089672683004906,0.007334652996104474,0.057065412799230275,0.002358912879879105
gene-Peve_00000776,OG_05637,peve,0.25379610737942615,0.3351331958409646,0.664054219345238,0.4485620149496337,0.08133708846153848,0.41025811196581186,-0.11342881910866909,0.2154922043956043,0.08133708846153848,0.41025811196581186
gene-Peve_00000861,OG_06234,peve,0.48807352151472433,0.30359375245927317,0.5178494558114035,0.5826061545373851,-0.18447976905545116,0.029775934296679185,-0.2790124020781119,-0.06475669872598155,0.18447976905545116,0.029775934296679185
gene-Peve_00001191,OG_03298,peve,5.812814606433637,4.950632065433974,5.357809999459642,5.47488328529776,-0.8621825409996626,-0.45500460697399525,-0.5242512198637854,-0.11707328583811805,0.8621825409996626,0.45500460697399525
gene-Peve_00001222,OG_11983,peve,0.9545037504167717,1.083906648596414,1.035407544175695,1.2565593214453683,0.12940289817964223,0.0809037937589232,-0.17265267284895436,-0.2211517772696734,0.12940289817964223,0.0809037937589232
gene-Peve_00001250,OG_15754,peve,6.427882713772327,7.436845022456203,7.3110512474793445,7.212148265532758,1.0089623086838762,0.8831685337070176,0.22469675692344548,0.09890298194658698,1.0089623086838762,0.8831685337070176
gene-Peve_00001297,OG_06236,peve,0.8571221690183887,1.0141833490353955,0.8386819496448058,1.1500041860287344,0.15706118001700686,-0.018440219373582867,-0.1358208369933389,-0.31132223638392864,0.15706118001700686,0.018440219373582867
gene-Peve_00001303,OG_15759,peve,0.5445370528190764,0.6821257742985228,0.5732962855856018,0.5723785612918671,0.13758872147944645,0.028759232766525367,0.10974721300665569,0.0009177242937346008,0.13758872147944645,0.028759232766525367
gene-Peve_00001368,OG_15761,peve,0.6506621243293091,0.31899743789403084,0.5168673257042253,0.49453443608875475,-0.3316646864352783,-0.1337947986250838,-0.1755369981947239,0.022332889615470586,0.3316646864352783,0.1337947986250838
gene-Peve_00001435,OG_10002,peve,4.16327782101923,4.4090757956033215,4.238778065300559,4.42811775694665,0.24579797458409125,0.0755002442813284,-0.01904196134332814,-0.189339691646091,0.24579797458409125,0.0755002442813284
gene-Peve_00001436,OG_10007,peve,2.0679916508870213,2.256673187204882,2.134556277256458,2.1567939572295587,0.18868153631786067,0.06656462636943683,0.09987922997532328,-0.022237679973100555,0.18868153631786067,0.06656462636943683
gene-Peve_00001438,OG_10004,peve,44.83476226738946,44.15897489422478,44.323428855598074,44.1969243511763,-0.6757873731646811,-0.5113334117913837,-0.037949456951523075,0.1265045044217743,0.6757873731646811,0.5113334117913837
gene-Peve_00001453,OG_10008,peve,0.857939816483061,0.9751896050373136,0.9758696633528784,0.9364793299307037,0.11724978855425261,0.11792984686981745,0.03871027510660985,0.039390333422174684,0.11724978855425261,0.11792984686981745
gene-Peve_00001484,OG_11360,peve,0.6640051638412017,0.3365957549100756,0.4275271175097078,0.38695478756216367,-0.3274094089311261,-0.23647804633149389,-0.050359032652088076,0.04057232994754412,0.3274094089311261,0.23647804633149389
gene-Peve_00001489,OG_03484,peve,0.6664165822258298,0.6706943907010582,0.5846439881758057,0.5552822169252044,0.004277808475228406,-0.08177259405002413,0.11541217377585378,0.029361771250601243,0.004277808475228406,0.08177259405002413
gene-Peve_00001492,OG_11359,peve,0.5137973326563959,0.6757184528338002,0.4518588405392157,0.42043143703197944,0.16192112017740423,-0.06193849211718022,0.2552870158018207,0.03142740350723627,0.16192112017740423,0.06193849211718022
gene-Peve_00001588,OG_04331,peve,2.00815389354944,1.949238361002886,1.7759224949254449,2.008354606502096,-0.058915532546553795,-0.232231398623995,-0.059116245499209796,-0.232432111576651,0.058915532546553795,0.232231398623995
gene-Peve_00001593,OG_04327,peve,40.57440124282555,39.24178183341033,39.51127561340322,39.86191635045408,-1.3326194094152228,-1.0631256294223306,-0.620134517043752,-0.35064073705085974,1.3326194094152228,1.0631256294223306
gene-Peve_00001749,OG_13681,peve,90.66120878043597,87.88677210769733,89.08631556881932,91.0027890605512,-2.774436672738645,-1.5748932116166543,-3.116016952853869,-1.9164734917318782,2.774436672738645,1.5748932116166543
gene-Peve_00001820,OG_13673,peve,6.261581844671202,7.697562662868481,10.52225203558201,11.501902972940288,1.4359808181972786,4.260670190910808,-3.804340310071807,-0.9796509373582776,1.4359808181972786,4.260670190910808
gene-Peve_00001974,OG_15796,peve,0.0877193,0.78333335,0.37412587999999997,0.7575899107142857,0.6956140500000001,0.28640657999999997,0.02574343928571432,-0.38346403071428575,0.6956140500000001,0.28640657999999997
gene-Peve_00002115,OG_02102,peve,67.60718093022552,65.76601172875412,66.54537128190712,67.71982268692832,-1.841169201471402,-1.0618096483184019,-1.953810958174202,-1.1744514050212018,1.841169201471402,1.0618096483184019
gene-Peve_00002188,OG_09596,peve,0.8246101668452381,0.47036586673115083,0.8533664330059525,0.7185200262698412,-0.3542443001140873,0.02875626616071436,-0.2481541595386904,0.13484640673611126,0.3542443001140873,0.02875626616071436
gene-Peve_00002251,OG_15815,peve,22.304020327335415,21.612254086586,21.741176382588474,21.61784330743885,-0.6917662407494163,-0.5628439447469411,-0.005589220852851184,0.123333075149624,0.6917662407494163,0.5628439447469411
gene-Peve_00002255,OG_15816,peve,3.062140706914894,2.531720689614995,1.9336174768237084,1.9476056496960488,-0.5304200172998992,-1.1285232300911856,0.5841150399189461,-0.013988172872340332,0.5304200172998992,1.1285232300911856
gene-Peve_00002488,OG_15831,peve,0.7384724892484287,0.4088475739773091,0.5457530439144561,0.4067932477948226,-0.3296249152711196,-0.19271944533397256,0.0020543261824864656,0.1389597961196335,0.3296249152711196,0.19271944533397256
gene-Peve_00002583,OG_05303,peve,0.7718228700702076,2.119929375686813,1.6775114332722831,1.54042677257326,1.3481065056166055,0.9056885632020756,0.5795026031135531,0.13708466069902303,1.3481065056166055,0.9056885632020756
gene-Peve_00002765,OG_09174,peve,13.745579171805048,13.677271693250576,13.362881903815628,14.167782614494302,-0.0683074785544715,-0.3826972679894194,-0.4905109212437253,-0.8049007106786732,0.0683074785544715,0.3826972679894194
gene-Peve_00002807,OG_09024,peve,0.8739637656259601,0.8369823840284177,0.7265543370647721,0.8508921208179724,-0.036981381597542384,-0.147409428561188,-0.01390973678955465,-0.12433778375320026,0.036981381597542384,0.147409428561188
gene-Peve_00002926,OG_04694,peve,68.9258239710226,66.7690225568315,67.61540649876069,69.73995229887973,-2.1568014141910936,-1.3104174722619035,-2.9709297420482272,-2.124545800119037,2.1568014141910936,1.3104174722619035
gene-Peve_00003034,OG_13066,peve,0.5322213216463414,0.5696343916739257,0.6779409620596206,0.7531051052361595,0.037413070027584316,0.14571964041327923,-0.18347071356223377,-0.07516414317653886,0.037413070027584316,0.14571964041327923
gene-Peve_00003079,OG_10205,peve,0.4389176388038549,0.6506009717018951,0.454783507920311,0.5769711076469873,0.2116833328980402,0.0158658691164561,0.07362986405490779,-0.12218759972667631,0.2116833328980402,0.0158658691164561
gene-Peve_00003118,OG_06384,peve,0.28523431979166664,0.23281059151785713,0.6699587518849207,0.15248914248511905,-0.052423728273809506,0.3847244320932541,0.08032144903273808,0.5174696093998017,0.052423728273809506,0.3847244320932541
gene-Peve_00003124,OG_11644,peve,0.5277946483007733,0.6733392127085877,0.6116097905168906,0.7096132068477818,0.14554456440781438,0.0838151422161173,-0.03627399413919419,-0.09800341633089127,0.14554456440781438,0.0838151422161173
gene-Peve_00003157,OG_00302,peve,0.3823748568364997,0.4011493926186364,0.4735066924541492,0.44408485182375196,0.018774535782136725,0.09113183561764954,-0.042935459205115545,0.029421840630397267,0.018774535782136725,0.09113183561764954
gene-Peve_00003176,OG_00297,peve,0.4227869150365541,0.46649383634163205,0.5062695597395113,0.4722038879750379,0.04370692130507797,0.08348264470295719,-0.0057100516334058216,0.03406567176447339,0.04370692130507797,0.08348264470295719
