species,species_name,n_genes,cor_cv_ratio_delta_T2,p_value_T2,cor_cv_ratio_delta_T3,p_value_T3
peve,Porites evermanni,513,0.03665372341178832,0.41345675228495016,0.044816686022750025,0.3172495716279731
ptua,Pocillopora tuahiniensis,457,-0.012895730320583483,0.7835981815998538,0.01236659229288505,0.7922704934578293
apul,Acropora pulchra,505,-0.0106984753327585,0.8106476009763682,0.08239948117015664,0.06454235127713528
