group_id,gene_id,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP3,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP2,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
OG_08920,Peve_00000077,2201,1336,752,667,1371,469,1500,520,301,1168,1743,650,820,918,1478,1344,1321,788,2404,939,708,797,1635,1451,1169,1961,1158,503,411,649,1277,476,967,465,2361,960,870,1399
OG_08914,Peve_00000084,63,24,26,29,25,7,16,14,6,106,43,7,25,41,12,69,10,13,36,17,45,7,151,14,53,37,49,26,0,12,29,13,24,10,73,15,14,26
OG_12248,Peve_00013346,7,35,0,8,20,22,122,93,8,182,37,20,13,6,104,159,61,63,67,65,34,36,179,90,94,178,0,0,10,5,20,22,10,11,65,21,11,26
OG_11296,Peve_00022433,0,26,3,9,5,0,21,4,0,0,56,0,34,13,8,42,0,10,4,18,0,0,0,18,5,21,3,0,0,7,0,10,12,0,17,0,0,9
OG_03289,Peve_00022425,5,15,6,0,25,8,2,9,8,0,17,0,13,0,29,32,0,27,18,27,4,0,13,13,0,43,0,0,0,5,21,16,27,12,44,12,3,0
OG_03288,Peve_00022430,27,12,0,8,0,0,32,13,3,12,18,0,12,0,10,30,26,13,7,0,12,0,42,41,10,18,14,0,0,0,12,19,7,4,63,9,24,13
OG_07389,Peve_00028736,96,513,120,103,224,161,253,170,275,24,450,190,176,399,222,363,153,114,181,213,40,10,233,536,35,490,32,6,18,114,470,260,562,172,278,299,55,48
OG_07394,Peve_00028770,102,25,7,2,21,8,76,0,7,266,276,28,35,60,53,22,15,3,8,126,109,25,53,76,47,68,210,13,0,53,65,33,48,36,9,8,23,7
OG_12160,Peve_00028781,37,5,5,5,13,0,15,5,5,159,52,3,6,14,18,39,16,3,50,15,59,24,72,36,26,61,36,22,4,21,54,24,5,4,80,9,73,21
OG_08663,Peve_00028733,11,8,0,0,6,5,13,5,8,7,54,6,19,9,8,47,12,9,17,27,4,2,24,69,0,86,0,0,0,5,88,40,27,11,14,0,0,8
OG_00430,Peve_00036941,2258,329,176,1226,423,187,2264,145,503,174,1976,178,640,906,2783,454,421,206,1669,1384,151,881,422,2532,668,2884,214,266,150,1221,3073,858,621,1487,1000,2542,217,932
OG_17806,Peve_00036953,172,54,13,19,61,15,12,5,2,5,44,7,30,41,82,44,24,20,69,15,8,9,10,0,0,23,4,0,0,8,57,32,8,29,40,36,10,25
OG_01630,Peve_00039581,2799,1516,1594,1666,2041,1174,2386,944,1020,1709,2778,992,2016,1584,2279,3844,1979,1877,3700,1780,769,1171,3229,2739,1355,5096,1519,773,883,1235,2693,1738,2135,1373,7989,2573,1868,2607
OG_08878,Peve_00041700,1805,672,2069,2018,1308,673,3479,1066,926,3002,2638,1084,3221,3087,1335,4419,1523,952,2333,1399,1343,1002,2043,1440,2173,3352,1603,685,1350,1548,2580,1360,4378,1135,11555,3151,3083,2856
OG_18223,Peve_00043691,213,132,24,64,65,27,68,52,39,244,76,36,60,33,39,101,29,44,54,44,36,45,146,162,69,184,42,21,11,55,86,90,52,54,208,73,39,49
OG_18224,Peve_00043693,9,0,2,0,11,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,19,0,0,2,0,0,0
OG_06908,Peve_00043673,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,57,18,5,0,0,0,0,0
OG_15682,Peve_00000174,60,135,29,28,34,28,23,19,0,50,47,18,40,34,70,132,47,25,34,29,18,10,19,47,39,60,22,21,25,33,22,13,40,10,18,55,23,7
OG_01354,Peve_00003352,2748,693,130,228,125,116,291,65,195,4752,413,152,273,326,336,291,123,96,576,181,1221,717,674,1433,2140,1539,1674,415,93,240,422,204,271,219,522,722,741,354
OG_01353,Peve_00003353,1218,627,66,182,220,94,325,86,108,1498,542,297,169,318,509,634,179,124,285,177,195,189,959,1475,787,1420,252,120,65,137,661,334,209,211,397,396,238,190
OG_08497,Peve_00006192,198,531,123,49,297,147,162,198,106,210,532,188,144,187,180,234,305,216,225,179,138,113,232,159,194,229,108,64,69,61,135,65,170,68,125,55,113,37
OG_10039,Peve_00007495,137,47,49,33,77,38,87,31,35,78,119,68,44,85,121,328,52,67,129,120,13,22,114,257,15,301,40,9,18,19,240,182,59,35,216,59,16,20
OG_16122,Peve_00007506,16,0,0,11,29,0,14,4,0,25,77,11,14,22,26,47,14,22,5,8,16,5,184,79,6,90,0,0,4,9,18,8,12,0,34,6,0,14
OG_00466,Peve_00008766,2314,2996,1239,741,2463,889,2214,847,680,1098,2948,838,1064,1308,2215,2157,2200,1437,1726,1472,749,1036,1578,1907,1086,2150,884,746,595,804,1924,577,1452,672,1584,1192,454,887
OG_13647,Peve_00010012,8,0,4,0,7,0,0,0,0,6,7,0,4,2,9,0,4,0,0,15,0,6,3,4,7,11,0,0,0,2,15,13,0,0,16,0,2,0
OG_08192,Peve_00011097,103,73,29,45,40,25,148,69,23,24,130,31,28,56,109,260,52,48,109,61,4,133,70,30,26,72,6,7,16,19,71,62,24,8,63,22,0,11
OG_07807,Peve_00011121,971,2614,980,172,2286,1036,392,185,615,749,3294,1245,635,692,122,2003,3084,592,359,902,555,299,239,174,512,245,597,675,400,102,296,108,965,67,99,114,138,138
OG_16469,Peve_00013516,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG_11907,Peve_00017468,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,6,0,7,0,11,0,0,0,13,0,0,0,16,12,0,0,7,3,0,0
OG_16707,Peve_00017425,76,381,147,84,541,144,268,116,293,21,344,129,115,174,223,344,430,151,145,190,168,17,214,204,93,205,120,37,131,152,204,76,283,135,48,215,103,55
OG_05308,Peve_00020888,196,532,294,159,622,158,416,171,74,174,706,206,232,326,450,610,597,322,225,349,98,61,220,125,179,203,96,40,126,130,306,80,315,88,175,62,37,61
OG_05304,Peve_00020879,6,5,4,6,13,2,19,0,11,12,10,0,0,0,9,28,15,4,0,0,0,0,35,11,15,0,0,0,12,8,46,26,12,0,27,0,0,8
OG_17015,Peve_00023327,7,20,38,11,168,63,134,95,36,90,256,60,138,128,68,146,71,38,33,147,13,6,44,72,23,98,30,11,42,31,98,67,22,30,13,35,13,0
OG_17058,Peve_00023981,762,1631,578,322,564,160,2191,971,335,154,2923,804,813,975,870,1030,1718,885,538,900,405,317,260,577,618,683,320,325,418,739,580,181,678,262,295,801,380,168
OG_17098,Peve_00024627,8,0,4,0,14,3,22,5,2,4,0,0,2,0,24,0,5,25,0,23,0,4,0,0,0,16,0,0,0,0,0,2,0,0,0,0,2,0
