gene_id,regulation,is_biomin
Pocillopora_meandrina_HIv1___RNAseq.g20887.t2,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g22113.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g4593.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7989.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g10917.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7121.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g12808.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g8717.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g16420.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g51.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g30098.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g15650.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g4031.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g17500.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g1876.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g14669.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g20152.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g1741.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g289.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g5271.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g2222.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g3982.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g2234.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g991.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g24871.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g16929.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g25731.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g17002.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g27652.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g27043.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g25725.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g11557.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g3784.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g14884.t1b,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g3426.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g2367.t2a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g17099.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g19290.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g12176.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g4101.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g1587.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g17826.t3,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g14412.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g23606.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g28936.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g6099.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7727.t1a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7470.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g29212.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g18093.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g10539.t1a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g15577.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g4019.t1a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g1996.t2,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g6499.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g22983.t2a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g14703.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g26268.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g23180.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7269.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g2982.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g10783.t1a,Both,False
Pocillopora_meandrina_HIv1___TS.g15052.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g3209.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g3590.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g5314.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g21162.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g17705.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g20405.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g25555.t2,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g12414.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g9632.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g1249.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g21286.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g25814.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g10169.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g27090.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g26467.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g19231.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g26487.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7319.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g10321.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g24636.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g19722.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g20996.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g17438.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g8902.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g26555.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g14191.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g16042.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g6653.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g448.t1,Both,True
Pocillopora_meandrina_HIv1___RNAseq.g29945.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g27437.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g4423.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g3177.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g7039.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g1067.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g10659.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g4332.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g16318.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g9167.t1a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g11330.t1a,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g16199.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g22366.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g29405.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g284.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g19736.t1c,Both,False
Pocillopora_meandrina_HIv1___TS.g16453.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g15613.t1,Both,False
Pocillopora_meandrina_HIv1___RNAseq.g11099.t1,Both,False
Pocillopora_meandrina_HIv1___TS.g4282.t1,Both,False
