gene_id,regulation,is_biomin
Peve_00034934,Both,False
Peve_00011057,Both,False
Peve_00043231,Both,False
Peve_00028175,Both,False
Peve_00025988,Both,False
Peve_00004300,Both,False
Peve_00032894,Both,False
Peve_00035193,Both,False
Peve_00019147,Both,False
Peve_00027064,Both,False
Peve_00026251,Both,False
Peve_00025355,Both,False
Peve_00037126,Both,False
Peve_00019719,Both,False
Peve_00017679,Both,False
Peve_00040489,Both,True
Peve_00032669,Both,False
Peve_00017609,Both,False
Peve_00009673,Both,False
Peve_00037043,Both,False
Peve_00042246,Both,False
Peve_00019035,Both,False
Peve_00037323,Both,False
Peve_00004515,Both,False
Peve_00004625,Both,False
Peve_00015675,Both,False
Peve_00002484,Both,False
Peve_00043046,Both,False
Peve_00029468,Both,False
Peve_00019486,Both,False
Peve_00012068,Both,False
Peve_00017111,Both,False
Peve_00044611,Both,False
Peve_00028336,Both,False
Peve_00038092,Both,False
Peve_00024110,Both,False
Peve_00035326,Both,False
Peve_00027533,Both,False
Peve_00030639,Both,False
Peve_00038242,Both,False
Peve_00042026,Both,False
Peve_00017095,Both,False
Peve_00038359,Both,False
Peve_00019976,Both,False
Peve_00031527,Both,False
Peve_00036533,Both,False
Peve_00013067,Both,False
Peve_00039769,Both,False
Peve_00033153,Both,False
Peve_00039392,Both,False
Peve_00040186,Both,False
Peve_00011295,Both,False
Peve_00026259,Both,False
Peve_00038926,Both,False
Peve_00019490,Both,False
Peve_00036278,Both,False
Peve_00039522,Both,False
Peve_00037857,Both,False
Peve_00040195,Both,False
Peve_00033561,Both,False
Peve_00016213,Both,True
Peve_00019445,Both,False
Peve_00024064,Both,False
Peve_00015193,Both,False
Peve_00030460,Both,False
Peve_00037461,Both,False
Peve_00018084,Both,False
Peve_00013438,Both,False
Peve_00026386,Both,False
Peve_00030054,lncRNA_only,False
Peve_00025435,lncRNA_only,False
Peve_00000324,lncRNA_only,False
Peve_00015422,lncRNA_only,False
Peve_00036259,lncRNA_only,False
Peve_00027137,lncRNA_only,False
Peve_00030370,lncRNA_only,False
Peve_00022971,lncRNA_only,False
Peve_00043637,lncRNA_only,False
Peve_00023115,lncRNA_only,False
Peve_00028753,lncRNA_only,False
Peve_00014532,lncRNA_only,False
Peve_00012957,lncRNA_only,False
Peve_00021491,lncRNA_only,False
Peve_00042275,lncRNA_only,False
Peve_00009070,lncRNA_only,False
Peve_00032290,lncRNA_only,False
Peve_00040546,lncRNA_only,False
Peve_00006329,lncRNA_only,False
Peve_00036167,lncRNA_only,False
Peve_00025857,lncRNA_only,False
Peve_00044414,lncRNA_only,False
Peve_00016128,lncRNA_only,False
Peve_00023942,lncRNA_only,False
Peve_00009971,lncRNA_only,False
Peve_00033161,lncRNA_only,False
Peve_00020832,lncRNA_only,False
Peve_00017589,lncRNA_only,False
Peve_00010648,lncRNA_only,False
Peve_00014525,lncRNA_only,False
Peve_00005935,lncRNA_only,False
Peve_00035712,lncRNA_only,False
Peve_00030032,lncRNA_only,False
Peve_00042340,lncRNA_only,False
Peve_00036014,lncRNA_only,False
Peve_00007509,lncRNA_only,False
Peve_00000232,lncRNA_only,False
Peve_00024259,lncRNA_only,False
Peve_00035934,lncRNA_only,False
Peve_00031843,lncRNA_only,False
Peve_00021488,lncRNA_only,False
Peve_00014651,lncRNA_only,True
Peve_00017307,lncRNA_only,False
Peve_00028574,lncRNA_only,False
Peve_00026501,lncRNA_only,False
Peve_00039308,lncRNA_only,False
Peve_00033030,lncRNA_only,False
Peve_00001125,lncRNA_only,False
Peve_00021581,lncRNA_only,False
Peve_00031809,lncRNA_only,False
Peve_00032012,lncRNA_only,False
Peve_00030906,lncRNA_only,False
Peve_00018547,lncRNA_only,False
Peve_00025372,lncRNA_only,False
Peve_00019572,lncRNA_only,False
Peve_00021384,lncRNA_only,False
Peve_00007074,lncRNA_only,False
Peve_00014802,lncRNA_only,False
Peve_00002174,lncRNA_only,False
Peve_00044431,lncRNA_only,False
Peve_00041861,lncRNA_only,False
Peve_00039453,lncRNA_only,False
Peve_00027596,lncRNA_only,False
Peve_00013987,lncRNA_only,False
Peve_00043004,lncRNA_only,False
Peve_00000614,lncRNA_only,False
Peve_00016839,lncRNA_only,False
Peve_00040027,lncRNA_only,False
Peve_00042698,lncRNA_only,False
Peve_00012283,lncRNA_only,False
Peve_00003301,lncRNA_only,False
Peve_00034875,lncRNA_only,False
Peve_00025640,lncRNA_only,False
Peve_00027147,lncRNA_only,False
Peve_00021468,lncRNA_only,False
Peve_00044514,lncRNA_only,False
Peve_00028728,lncRNA_only,False
Peve_00006784,lncRNA_only,False
Peve_00016403,lncRNA_only,False
Peve_00011782,lncRNA_only,False
Peve_00027622,lncRNA_only,False
Peve_00042425,lncRNA_only,False
Peve_00025356,lncRNA_only,False
Peve_00000307,lncRNA_only,False
Peve_00002412,lncRNA_only,False
Peve_00007522,lncRNA_only,False
Peve_00039218,lncRNA_only,False
Peve_00024336,lncRNA_only,False
Peve_00044255,lncRNA_only,False
Peve_00011826,lncRNA_only,False
Peve_00044863,lncRNA_only,False
Peve_00035596,lncRNA_only,False
Peve_00005227,lncRNA_only,False
Peve_00035163,lncRNA_only,False
Peve_00040160,lncRNA_only,False
Peve_00017416,lncRNA_only,False
Peve_00003292,lncRNA_only,False
Peve_00027615,lncRNA_only,False
Peve_00009140,lncRNA_only,False
Peve_00024296,lncRNA_only,True
Peve_00027293,lncRNA_only,False
Peve_00038826,lncRNA_only,False
Peve_00035907,lncRNA_only,False
Peve_00004781,lncRNA_only,False
Peve_00008720,lncRNA_only,False
Peve_00020562,lncRNA_only,False
Peve_00016428,lncRNA_only,False
Peve_00006680,lncRNA_only,False
Peve_00009214,lncRNA_only,False
Peve_00005700,lncRNA_only,False
Peve_00002771,lncRNA_only,False
Peve_00039049,lncRNA_only,False
Peve_00023985,lncRNA_only,False
Peve_00021744,lncRNA_only,False
Peve_00010767,lncRNA_only,False
Peve_00010026,lncRNA_only,False
Peve_00044975,lncRNA_only,False
Peve_00010062,lncRNA_only,False
Peve_00028008,lncRNA_only,False
Peve_00008835,lncRNA_only,False
Peve_00029389,lncRNA_only,False
Peve_00028331,lncRNA_only,False
Peve_00006627,lncRNA_only,False
Peve_00034938,lncRNA_only,False
Peve_00003001,lncRNA_only,False
Peve_00017586,lncRNA_only,False
Peve_00017293,lncRNA_only,False
Peve_00044779,lncRNA_only,False
Peve_00039668,lncRNA_only,False
Peve_00010322,lncRNA_only,False
Peve_00037444,lncRNA_only,False
Peve_00016498,lncRNA_only,False
Peve_00023227,lncRNA_only,False
Peve_00025390,lncRNA_only,False
Peve_00044188,lncRNA_only,False
Peve_00019473,lncRNA_only,False
Peve_00036863,lncRNA_only,False
Peve_00037702,lncRNA_only,False
Peve_00020199,lncRNA_only,True
Peve_00008960,lncRNA_only,False
Peve_00027266,lncRNA_only,False
Peve_00019345,lncRNA_only,False
Peve_00031103,lncRNA_only,False
Peve_00009004,lncRNA_only,False
Peve_00025804,lncRNA_only,False
Peve_00025582,lncRNA_only,False
Peve_00011700,lncRNA_only,False
Peve_00034176,lncRNA_only,False
Peve_00009337,lncRNA_only,False
Peve_00037723,lncRNA_only,False
Peve_00015534,lncRNA_only,False
Peve_00032073,lncRNA_only,False
Peve_00020171,lncRNA_only,False
Peve_00004060,lncRNA_only,False
Peve_00010577,lncRNA_only,True
Peve_00035014,lncRNA_only,False
Peve_00020193,lncRNA_only,False
Peve_00039081,lncRNA_only,False
Peve_00041665,lncRNA_only,False
Peve_00039204,lncRNA_only,False
Peve_00008888,lncRNA_only,False
Peve_00030708,lncRNA_only,False
Peve_00024062,lncRNA_only,False
