feature,id,pval,qval
exon,137428,1.6209256159527285e-14,1.6287060589093016e-9
exon,137429,1.4210854715202004e-14,1.6287060589093016e-9
exon,100936,8.972822485020515e-12,6.010594688632409e-7
exon,65284,2.875233384713738e-10,1.444517252480182e-5
exon,137430,6.993177148473251e-10,2.810697759514369e-5
exon,107973,1.030438845361914e-9,3.451283172732171e-5
exon,156851,1.6188967943975285e-9,4.647621425744676e-5
exon,156850,3.4092637601901288e-9,8.564070565597603e-5
exon,65274,4.64998661797722e-9,1.0382903452763357e-4
exon,185600,7.993294692809627e-9,1.6063325014670227e-4
exon,185599,1.4210253418411867e-8,2.596084115421862e-4
exon,90318,6.003199326531927e-8,0.0010053357805498802
exon,65281,9.672802836480088e-8,0.001495266506168491
exon,17104,1.8348624508668365e-7,0.0017328310302518316
exon,80660,1.5744808667950139e-7,0.0017328310302518316
exon,103356,1.7344770708582757e-7,0.0017328310302518316
exon,185596,1.846736490396239e-7,0.0017328310302518316
exon,185598,1.7688854214714667e-7,0.0017328310302518316
exon,203753,1.3116568686744046e-7,0.0017328310302518316
exon,203754,1.8836677639910704e-7,0.0017328310302518316
exon,203756,1.8970084925129527e-7,0.0017328310302518316
exon,203757,1.312742664572042e-7,0.0017328310302518316
exon,185601,2.0700582736843387e-7,0.0018086909159982813
exon,78893,2.3573727281345214e-7,0.0018238681050775085
exon,117418,2.3157764905690215e-7,0.0018238681050775085
exon,203755,2.3597019671584007e-7,0.0018238681050775085
exon,156836,2.6004429976023147e-7,0.0019355000918450413
exon,119173,2.9125866751744667e-7,0.002067641343943243
exon,203750,2.983757910746121e-7,0.002067641343943243
exon,7736,3.2837304941857326e-7,0.0021996616003718827
exon,149877,4.4622422623596947e-7,0.0028926845323993685
exon,183966,4.798585322429716e-7,0.0030135115824858616
exon,185605,5.175697572745719e-7,0.0031518429824817567
exon,203752,6.945281265657854e-7,0.0041050697739605955
exon,90928,7.591765500691849e-7,0.004269583325459002
exon,119174,7.648537008186906e-7,0.004269583325459002
exon,185604,7.980150440456413e-7,0.004334300087876003
exon,65282,9.357535426524066e-7,0.004805544763833325
exon,185603,9.270313177101031e-7,0.004805544763833325
exon,203749,9.565176679604548e-7,0.004805544763833325
exon,90929,1.0505161078810943e-6,0.0051490662692630414
exon,156829,1.0951521265400999e-6,0.005240042174988058
exon,8091,1.1613442172375699e-6,0.005427528695257256
exon,80659,1.235870498605962e-6,0.005519123008885647
exon,93794,1.2305910094267958e-6,0.005519123008885647
exon,77187,1.2876180015553018e-6,0.005537542441576524
exon,119175,1.2951059651378216e-6,0.005537542441576524
exon,156849,1.3303342505377458e-6,0.005569666062251363
exon,1398,1.4396583665199358e-6,0.005904362149711149
exon,14317,1.549942450385089e-6,0.006229528696587749
exon,185602,1.6244413820754033e-6,0.006277841156574482
exon,203748,1.6139157132943893e-6,0.006277841156574482
exon,185595,1.8743693677159001e-6,0.007107042795022401
exon,112607,2.0019734174869797e-6,0.00721111625517978
exon,119413,2.0326050674812635e-6,0.00721111625517978
exon,156828,1.948614439917229e-6,0.00721111625517978
exon,185594,2.0453504505635323e-6,0.00721111625517978
exon,65283,2.0998454834941782e-06,0.007224348149119389
exon,156837,2.121001894894725e-6,0.007224348149119389
exon,21364,2.4782239756993008e-6,0.008300398169275525
exon,78984,2.523929547582071e-6,0.00831489970298513
exon,21363,2.6576110447873447e-6,0.008614088960652659
exon,21361,2.850479724925137e-6,0.009092577865411991
exon,185597,2.8983755624434338e-6,0.009100899266072382
exon,65279,3.0489284669199535e-6,0.009426348687880521
exon,1397,3.1013860020134842e-6,0.009443250469161057
exon,85689,3.2376565066716267e-6,0.009711036590757166
exon,65275,3.662770714951691e-6,0.010223200039954054
exon,65276,3.6485497472149575e-6,0.010223200039954054
exon,78892,3.5358107063343525e-6,0.010223200039954054
exon,80664,3.5434339118456393e-6,0.010223200039954054
exon,181110,3.6374783733972293e-6,0.010223200039954054
exon,112608,3.7358479844096237e-6,0.010284328917081616
exon,117419,3.913777815389707e-6,0.010628551213252914
exon,8090,4.1584918303305685e-6,0.011142540242976414
exon,112609,4.319625475535105e-6,0.01128658758549644
exon,134085,4.324578244840893e-6,0.01128658758549644
exon,191460,4.738718763830363e-6,0.012208883625376279
exon,201509,5.11051207996438e-6,0.013000107691008124
exon,22509,5.516867913613055e-6,0.01372064402594319
exon,60489,5.560174678009844e-6,0.01372064402594319
exon,77186,5.598590814726023e-6,0.01372064402594319
exon,104057,5.811414889200783e-6,0.01407062573655168
exon,22380,6.045173736479725e-6,0.014126024582360064
exon,63625,6.037571872452574e-6,0.014126024582360064
exon,203741,6.003099444429338e-6,0.014126024582360064
exon,23226,6.4056378168420025e-6,0.014683866837960382
exon,131507,6.430037229998575e-6,0.014683866837960382
exon,5703,6.5344387811805404e-6,0.014710205180602681
exon,21365,6.587970074911631e-6,0.014710205180602681
exon,70272,6.664348999763092e-6,0.014717226098817484
