species,sample_id,timepoint,colony,n_genes,r,p_value,significant
Acropora pulchra,ACR-139-TP1,TP1,ACR-139,9172,-0.3016663478103072,2.8215388301917418e-192,TRUE
Acropora pulchra,ACR-139-TP2,TP2,ACR-139,9085,-0.29167262265380384,1.2419836849083559e-177,TRUE
Acropora pulchra,ACR-139-TP3,TP3,ACR-139,8911,-0.27453221810620065,7.879607386720107e-154,TRUE
Acropora pulchra,ACR-139-TP4,TP4,ACR-139,9128,-0.29647945667065984,1.3270224435866818e-184,TRUE
Acropora pulchra,ACR-145-TP1,TP1,ACR-145,9138,-0.28574487613773486,3.064396267247905e-171,TRUE
Acropora pulchra,ACR-145-TP2,TP2,ACR-145,9035,-0.3047678999760307,1.6783158854428467e-193,TRUE
Acropora pulchra,ACR-145-TP3,TP3,ACR-145,8608,-0.24379817011492821,1.0807013915919607e-116,TRUE
Acropora pulchra,ACR-145-TP4,TP4,ACR-145,8870,-0.2707655256302186,7.482116364561714e-149,TRUE
Acropora pulchra,ACR-150-TP1,TP1,ACR-150,8830,-0.29527551349398057,3.8218469725229546e-177,TRUE
Acropora pulchra,ACR-150-TP2,TP2,ACR-150,9025,-0.29611747040015113,4.409908102797782e-182,TRUE
Acropora pulchra,ACR-150-TP3,TP3,ACR-150,9202,-0.2995678598480453,4.0012054261147614e-190,TRUE
Acropora pulchra,ACR-150-TP4,TP4,ACR-150,9020,-0.2851154129726281,2.746057239923755e-168,TRUE
Acropora pulchra,ACR-173-TP1,TP1,ACR-173,9156,-0.28758009308307514,7.438440753847355e-174,TRUE
Acropora pulchra,ACR-173-TP2,TP2,ACR-173,8909,-0.28120162448966984,1.417718986474e-161,TRUE
Acropora pulchra,ACR-173-TP3,TP3,ACR-173,8885,-0.25196560023827574,1.0112763960284626e-128,TRUE
Acropora pulchra,ACR-173-TP4,TP4,ACR-173,8699,-0.26447979731823457,3.628348004076298e-139,TRUE
Acropora pulchra,ACR-186-TP1,TP1,ACR-186,8038,-0.25387402438308976,1.938464437618208e-118,TRUE
Acropora pulchra,ACR-186-TP2,TP2,ACR-186,8981,-0.31865822196520366,4.441605886743602e-211,TRUE
Acropora pulchra,ACR-186-TP3,TP3,ACR-186,8631,-0.2603645295299956,9.669613042976617e-134,TRUE
Acropora pulchra,ACR-186-TP4,TP4,ACR-186,9021,-0.2988994691288075,1.457046607944233e-185,TRUE
Acropora pulchra,ACR-225-TP1,TP1,ACR-225,225,-0.03975522412565741,0.5530195306333907,FALSE
Acropora pulchra,ACR-225-TP2,TP2,ACR-225,9060,-0.27858650526819795,3.759270234647624e-161,TRUE
Acropora pulchra,ACR-225-TP3,TP3,ACR-225,8968,-0.27366976089812817,8.354004874874149e-154,TRUE
Acropora pulchra,ACR-225-TP4,TP4,ACR-225,8824,-0.27602250054703387,4.742297798897912e-154,TRUE
Acropora pulchra,ACR-229-TP1,TP1,ACR-229,9159,-0.2828765065811711,4.267349467214472e-168,TRUE
Acropora pulchra,ACR-229-TP2,TP2,ACR-229,9098,-0.27058776003978396,2.014819974717825e-152,TRUE
Acropora pulchra,ACR-229-TP3,TP3,ACR-229,9173,-0.2979467808668255,2.0670046960151757e-187,TRUE
Acropora pulchra,ACR-229-TP4,TP4,ACR-229,8426,-0.2772761250234095,1.4419457278788738e-148,TRUE
Acropora pulchra,ACR-237-TP1,TP1,ACR-237,8896,-0.27782307296789244,2.2206260375833882e-157,TRUE
Acropora pulchra,ACR-237-TP2,TP2,ACR-237,9047,-0.29730116766211623,4.908437372030267e-184,TRUE
Acropora pulchra,ACR-237-TP3,TP3,ACR-237,9127,-0.2982952447359006,6.203826536936866e-187,TRUE
Acropora pulchra,ACR-237-TP4,TP4,ACR-237,8886,-0.28957238371184985,3.2835913312607323e-171,TRUE
