species,sample_id,timepoint,colony,n_genes,r,p_value,significant
Acropora pulchra,ACR-244-TP1,TP1,ACR-244,8795,-0.2758184710283607,2.5630580542790014e-153,TRUE
Acropora pulchra,ACR-244-TP2,TP2,ACR-244,9106,-0.27510584234492497,7.919053887653265e-158,TRUE
Acropora pulchra,ACR-244-TP3,TP3,ACR-244,9007,-0.29677064391239677,1.4872999072493322e-182,TRUE
Acropora pulchra,ACR-244-TP4,TP4,ACR-244,8705,-0.27445943112060356,3.0800212491819993e-150,TRUE
Acropora pulchra,ACR-265-TP1,TP1,ACR-265,8669,-0.25180965927049775,1.7572052813022448e-125,TRUE
Acropora pulchra,ACR-265-TP2,TP2,ACR-265,9103,-0.2784898474273513,8.614909780001839e-162,TRUE
Acropora pulchra,ACR-265-TP3,TP3,ACR-265,9139,-0.28712906727283394,5.646827873985518e-173,TRUE
Acropora pulchra,ACR-265-TP4,TP4,ACR-265,8568,-0.273162838802,1.785109579323136e-146,TRUE
Pocillopora tuahiniensis,POC-201-TP1,TP1,POC-201,10263,-0.29108337135984397,1.449840076523522e-199,TRUE
Pocillopora tuahiniensis,POC-201-TP2,TP2,POC-201,10197,-0.2816085684918562,3.401655422229879e-185,TRUE
Pocillopora tuahiniensis,POC-219-TP1,TP1,POC-219,10056,-0.2807328497737552,1.7110200967297304e-181,TRUE
Pocillopora tuahiniensis,POC-219-TP2,TP2,POC-219,7264,-0.28164069385457724,1.5746979328134294e-132,TRUE
Pocillopora tuahiniensis,POC-219-TP3,TP3,POC-219,9119,-0.2793091596059543,4.699406347711599e-163,TRUE
Pocillopora tuahiniensis,POC-219-TP4,TP4,POC-219,10088,-0.2907949052266286,8.541143165129935e-196,TRUE
Pocillopora tuahiniensis,POC-222-TP1,TP1,POC-222,10299,-0.2964075882973123,6.399079613586623e-208,TRUE
Pocillopora tuahiniensis,POC-222-TP3,TP3,POC-222,10352,-0.30851431672583546,4.0872960742498655e-227,TRUE
Pocillopora tuahiniensis,POC-222-TP4,TP4,POC-222,10181,-0.2965731516302413,8.448051346297893e-206,TRUE
Pocillopora tuahiniensis,POC-255-TP1,TP1,POC-255,10194,-0.3028730730188674,2.9818861497978737e-215,TRUE
Pocillopora tuahiniensis,POC-255-TP2,TP2,POC-255,10152,-0.27234266316753497,4.054018589251912e-172,TRUE
Pocillopora tuahiniensis,POC-255-TP3,TP3,POC-255,9738,-0.2574035678517694,3.666019203054091e-147,TRUE
Pocillopora tuahiniensis,POC-259-TP1,TP1,POC-259,10311,-0.28507259277048724,5.020231352477563e-192,TRUE
Pocillopora tuahiniensis,POC-259-TP2,TP2,POC-259,10250,-0.28580312673202796,6.504867685212045e-192,TRUE
Pocillopora tuahiniensis,POC-40-TP1,TP1,POC-40,10300,-0.270531299641173,3.197190978211722e-172,TRUE
Pocillopora tuahiniensis,POC-40-TP2,TP2,POC-40,10205,-0.26780779906985364,3.811983887552492e-167,TRUE
Pocillopora tuahiniensis,POC-40-TP3,TP3,POC-40,10389,-0.2868415236002981,5.966938644566403e-196,TRUE
Pocillopora tuahiniensis,POC-40-TP4,TP4,POC-40,10319,-0.29858365266754355,1.6630053037507465e-211,TRUE
Pocillopora tuahiniensis,POC-42-TP2,TP2,POC-42,10099,-0.28037865464466544,8.696733649045229e-182,TRUE
Pocillopora tuahiniensis,POC-42-TP4,TP4,POC-42,9996,-0.232465064792597,9.357821794299054e-123,TRUE
Pocillopora tuahiniensis,POC-52-TP1,TP1,POC-52,7706,-0.22493402860598227,5.5993380828834214e-89,TRUE
Pocillopora tuahiniensis,POC-52-TP2,TP2,POC-52,10095,-0.276019076637406,6.019766107820506e-176,TRUE
Pocillopora tuahiniensis,POC-52-TP3,TP3,POC-52,10144,-0.2972998115828812,4.206274706062018e-206,TRUE
Pocillopora tuahiniensis,POC-52-TP4,TP4,POC-52,10264,-0.2996026453857863,6.983525665248712e-212,TRUE
Pocillopora tuahiniensis,POC-53-TP1,TP1,POC-53,10421,-0.28176498262701716,1.955441675733467e-189,TRUE
Pocillopora tuahiniensis,POC-53-TP2,TP2,POC-53,10331,-0.28798080918020946,1.8009817182648834e-196,TRUE
Pocillopora tuahiniensis,POC-53-TP3,TP3,POC-53,10311,-0.29927277121154977,2.3415411703313812e-212,TRUE
Pocillopora tuahiniensis,POC-53-TP4,TP4,POC-53,10098,-0.30397647023385127,7.309231579386076e-215,TRUE
Pocillopora tuahiniensis,POC-57-TP1,TP1,POC-57,10342,-0.30213239011436904,3.0744365717910105e-217,TRUE
Pocillopora tuahiniensis,POC-57-TP2,TP2,POC-57,10312,-0.26068278750187596,8.404172533373278e-160,TRUE
Pocillopora tuahiniensis,POC-57-TP3,TP3,POC-57,10285,-0.2886096894309409,1.7267827382616196e-196,TRUE
Pocillopora tuahiniensis,POC-57-TP4,TP4,POC-57,10245,-0.3085018775231786,9.047397375065555e-225,TRUE
Porites evermanni,POR-216-TP1,TP1,POR-216,8856,-0.26313245761599646,3.5873905561799855e-140,TRUE
Porites evermanni,POR-216-TP2,TP2,POR-216,9280,-0.3087510719324657,3.911260440459204e-204,TRUE
Porites evermanni,POR-216-TP3,TP3,POR-216,9118,-0.2868051227621888,3.517304710680613e-172,TRUE
Porites evermanni,POR-216-TP4,TP4,POR-216,9224,-0.28020400460577205,5.3513048378642294e-166,TRUE
Porites evermanni,POR-236-TP1,TP1,POR-236,7848,-0.28603388862446094,1.1803207482828809e-147,TRUE
Porites evermanni,POR-236-TP2,TP2,POR-236,8959,-0.3036517133497312,1.961828451938032e-190,TRUE
Porites evermanni,POR-245-TP1,TP1,POR-245,8845,-0.26061364858500286,2.820459397283291e-137,TRUE
Porites evermanni,POR-245-TP2,TP2,POR-245,8604,-0.29647296283816144,4.097022042580082e-174,TRUE
Porites evermanni,POR-245-TP3,TP3,POR-245,8986,-0.2824371600892589,1.9710561758103402e-164,TRUE
Porites evermanni,POR-245-TP4,TP4,POR-245,9236,-0.3145033906549371,3.806446526693034e-211,TRUE
Porites evermanni,POR-260-TP1,TP1,POR-260,9367,-0.29934565550784115,3.365634281699913e-193,TRUE
Porites evermanni,POR-260-TP2,TP2,POR-260,8659,-0.2648116650455158,6.838521756180415e-139,TRUE
Porites evermanni,POR-260-TP3,TP3,POR-260,8878,-0.24460014481814227,4.267060938392329e-121,TRUE
Porites evermanni,POR-260-TP4,TP4,POR-260,9218,-0.29191045206408794,1.6565634550465828e-180,TRUE
Porites evermanni,POR-262-TP1,TP1,POR-262,9172,-0.27810587357524247,1.5343496275518899e-162,TRUE
Porites evermanni,POR-262-TP2,TP2,POR-262,9427,-0.28801288024932215,1.693499286630063e-179,TRUE
Porites evermanni,POR-262-TP3,TP3,POR-262,9277,-0.30178405580810713,1.3031719930585316e-194,TRUE
Porites evermanni,POR-262-TP4,TP4,POR-262,9187,-0.30780851270348136,7.93931879408459e-201,TRUE
Porites evermanni,POR-69-TP1,TP1,POR-69,8309,-0.27266456877138223,1.4144690121647604e-141,TRUE
Porites evermanni,POR-69-TP2,TP2,POR-69,8945,-0.2681225131035816,4.157608176367409e-147,TRUE
Porites evermanni,POR-69-TP3,TP3,POR-69,8983,-0.303472824861829,1.0507496482074505e-190,TRUE
Porites evermanni,POR-69-TP4,TP4,POR-69,8615,-0.3020409232124449,3.4553511502410645e-181,TRUE
Porites evermanni,POR-72-TP1,TP1,POR-72,9058,-0.28321331522130344,1.1314195525855409e-166,TRUE
Porites evermanni,POR-72-TP2,TP2,POR-72,8835,-0.286193125044965,3.6450612088566435e-166,TRUE
Porites evermanni,POR-72-TP3,TP3,POR-72,8686,-0.31195956604852165,2.3357263169379987e-195,TRUE
Porites evermanni,POR-72-TP4,TP4,POR-72,9185,-0.2932989822234448,1.213617364457141e-181,TRUE
Porites evermanni,POR-73-TP1,TP1,POR-73,8707,-0.3105963826738865,4.7776165985318865e-194,TRUE
Porites evermanni,POR-73-TP3,TP3,POR-73,8810,-0.29975877674331824,2.3690029991028643e-182,TRUE
Porites evermanni,POR-73-TP4,TP4,POR-73,9241,-0.2892989880227496,1.2696820952559852e-177,TRUE
Porites evermanni,POR-74-TP1,TP1,POR-74,8770,-0.2660944844485155,4.815871785665912e-142,TRUE
Porites evermanni,POR-74-TP2,TP2,POR-74,9207,-0.29121791722465257,2.0674418090274875e-179,TRUE
Porites evermanni,POR-74-TP3,TP3,POR-74,8537,-0.2640217771658241,3.961067137965957e-136,TRUE
Porites evermanni,POR-74-TP4,TP4,POR-74,8896,-0.26876562699676554,4.9451257170443786e-147,TRUE
Porites evermanni,POR-83-TP1,TP1,POR-83,9163,-0.2707955762357564,9.719197960821852e-154,TRUE
Porites evermanni,POR-83-TP2,TP2,POR-83,8901,-0.25343563809456243,1.739607243265508e-130,TRUE
Porites evermanni,POR-83-TP3,TP3,POR-83,8700,-0.29923499582437313,1.896448634958605e-179,TRUE
Porites evermanni,POR-83-TP4,TP4,POR-83,8952,-0.2874629594926162,6.969353037729931e-170,TRUE
