species,colony,n_genes,r
Acropora pulchra,ACR-139,36296,-0.29470386746371424
Acropora pulchra,ACR-145,35651,-0.27115229543093267
Acropora pulchra,ACR-150,36077,-0.3004160746921875
Acropora pulchra,ACR-173,35649,-0.28357712803532636
Acropora pulchra,ACR-186,34671,-0.2942134315452035
Acropora pulchra,ACR-225,27077,-0.26845394557010743
Acropora pulchra,ACR-229,35856,-0.2649264067660153
Acropora pulchra,ACR-237,35956,-0.2806561690767677
Acropora pulchra,ACR-244,35613,-0.2702182144753732
Acropora pulchra,ACR-265,35479,-0.2574959222969319
Pocillopora tuahiniensis,POC-201,20460,-0.2864483415610592
Pocillopora tuahiniensis,POC-219,36527,-0.27522528512388683
Pocillopora tuahiniensis,POC-222,30832,-0.2974532334089347
Pocillopora tuahiniensis,POC-255,30084,-0.27016200665534085
Pocillopora tuahiniensis,POC-259,20561,-0.2853018545744128
Pocillopora tuahiniensis,POC-40,41213,-0.2805935383944202
Pocillopora tuahiniensis,POC-42,20095,-0.21574004416946213
Pocillopora tuahiniensis,POC-52,38209,-0.21429196692973312
Pocillopora tuahiniensis,POC-53,41161,-0.291631903600672
Pocillopora tuahiniensis,POC-57,41184,-0.2831882217650636
Porites evermanni,POR-216,36478,-0.27390405195228607
Porites evermanni,POR-236,16807,-0.29459181551696934
Porites evermanni,POR-245,35671,-0.2830466211566993
Porites evermanni,POR-260,36122,-0.27571339236061215
Porites evermanni,POR-262,37063,-0.2910352610341192
Porites evermanni,POR-69,34852,-0.28590768732780025
Porites evermanni,POR-72,35764,-0.285575068149309
Porites evermanni,POR-73,26758,-0.29957411609384504
Porites evermanni,POR-74,35410,-0.2700285263214581
Porites evermanni,POR-83,35716,-0.2731539180563223
