gene_id	ACR-139-TP1	ACR-139-TP2	ACR-139-TP3	ACR-139-TP4	ACR-145-TP1	ACR-145-TP2	ACR-145-TP3	ACR-145-TP4	ACR-150-TP1	ACR-150-TP2	ACR-150-TP3	ACR-150-TP4	ACR-173-TP1	ACR-173-TP2	ACR-173-TP3	ACR-173-TP4	ACR-186-TP1	ACR-186-TP2	ACR-186-TP3	ACR-186-TP4	ACR-225-TP1	ACR-225-TP2	ACR-225-TP3	ACR-225-TP4	ACR-229-TP1	ACR-229-TP2	ACR-229-TP3	ACR-229-TP4	ACR-237-TP1	ACR-237-TP2	ACR-237-TP3	ACR-237-TP4	ACR-244-TP1	ACR-244-TP2	ACR-244-TP3	ACR-244-TP4	ACR-265-TP1	ACR-265-TP2	ACR-265-TP3	ACR-265-TP4
FUN_000299	1.585885261	2.245101049	2.801381615	0.9025607931	6.938422471	8.647808133	5.815676065	5.780559957	2.071191026	4.94830255	2.995100378	0.875	2.2328549	2.605158455	2.13833734	2.018304459	1.495995827	1.83217388	1.510506688	2.444049025	16.82475771	0.4855170746	0.4706867222	0.2535543253	0.5782273232	0.6752287843	0.4954832979	0.2457002432	0.1879699211	0.7575757826	3.118234333	2.17345869	7.865228167	5.59315314	7.693168057	4.009613029	7.414531687	10.04241377	6.236841484	4.372498429
FUN_000356	0.1785714286	2.6222	0.63316995	2.067288297	9.342844861	10.46868111	7.9709754	6.865608059	1.698037423	2.029939727	2.554308558	1.583587969	5.121869077	13.07614364	3.227713097	3.595576844	7.913795233	16.93340971	7.367742258	13.734109	0.5518716	0.8643172593	7.310051211	6.978487176	13.50146183	15.29697682	11.24305679	9.468188902	1.90991583	2.609455404	1.398200339	3.183130388	11.08831329	18.09719014	20.974026	13.65453176	7.644777625	5.843855167	3.002374429	5.65343875
FUN_000536	10.60255561	12.05342427	7.802358957	12.67470033	10.47209321	10.54388307	9.750031527	11.98176253	10.06405825	14.19260951	12.62383135	11.44016863	11.96963807	14.80290008	13.21084097	16.96296334	10.65345557	13.14917026	13.32332992	12.97736021	23.17967346	19.79698756	10.30241722	11.9789176	12.60485585	13.90956484	15.6077046	13.40379229	14.37231346	16.06756285	15.56219692	16.89721059	14.73465522	16.33067877	24.75956186	14.22859811	12.70952385	11.03975993	10.83190567	10.3891659
FUN_000987	2.560963642	4.117437795	1.685149224	3.207304068	0.4816934576	6.174297415	0.2976190357	0.4197684032	5.774878343	4.641285023	7.041546115	12.24747475	3.46666664	0	0.643939375	0	1.40676325	1.066103039	3.657024784	7.813324347	18.41662177	7.060179375	2.099890294	3.368126164	1.055458211	1.660148369	0.698693545	1.397095993	5.709366386	12.16161618	13.93325818	14.88322284	1.044428209	2.427184466	0.1680672286	1.69043782	0.1388888889	0	0	0
FUN_001349	3.112476864	3.047890051	2.444403095	3.748775743	2.033988392	2.814880679	2.338286602	2.994288084	3.321434542	5.700853796	4.257786376	3.271684246	3.445288801	3.677270303	2.597423456	1.497918553	1.895792287	3.975301189	3.319144564	4.477001873	35.61119448	3.070987721	2.082757067	2.874408335	3.757187875	4.434825892	4.123399941	2.354763013	3.811345631	4.246598172	4.735878737	5.120666358	4.853021728	4.912332197	7.643685147	4.142436466	3.450011109	3.189433602	3.199321511	3.247271413
FUN_001422	5.658159669	5.078285042	3.732080706	4.594488571	3.369741793	4.668812934	2.986449509	4.40593599	3.212072203	5.926236456	5.222852179	3.268740486	4.901519512	8.969663724	2.361849315	3.796608606	1.886722034	4.23745745	2.995085986	5.072456872	44.86067327	6.308165546	2.03463972	2.355455636	4.643707878	5.379384891	5.74669	3.600410758	5.577863531	5.494088288	4.702192209	3.926642902	5.157972411	4.728757604	7.345123116	4.891706145	4.073002007	4.902844921	4.482763864	2.146255707
FUN_001488	1.172390978	1.066029779	0.9620024058	1.385123157	1.822197469	1.24656563	1.15544415	1.539509536	2.200486009	3.385210911	2.491050954	1.804254099	0.7746532562	1.04098033	0.6373608283	1.577132943	3.13900678	3.493397786	2.207363312	3.128022236	1.381784923	2.392632471	1.547133965	1.899729677	1.888283676	2.014339775	2.742642504	2.254899345	2.16177286	2.456396839	2.565702531	2.383399182	2.881305819	2.998386304	3.051406586	2.439202877	1.398410733	1.86199972	1.813883036	1.287544853
FUN_001573	3.498475545	2.803955575	1.958769719	3.551247805	2.530249282	2.760384882	1.728759519	3.347108401	3.169596313	6.032468015	4.837179367	4.347283397	3.796895243	5.990142773	2.885778669	0.9372857937	2.759901333	6.321302252	3.012621312	6.262225065	13.39525044	6.66264172	2.50461861	3.904779812	2.837655208	2.915384054	3.419787347	3.537070776	5.869254513	4.032673	5.529996606	5.381970697	3.904174713	4.082658846	4.938379947	3.952355567	4.645860373	3.037198425	3.204015461	1.024919023
FUN_001599	6.503068959	7.096598167	6.444880032	9.087007542	5.18883323	8.983863336	5.384629332	7.865574833	9.186412435	17.90633276	15.00420686	4.146430627	6.513047049	8.2437325	5.360669853	5.548235109	4.349926262	9.575062947	6.420778937	8.006978336	15.73965113	8.648253672	7.126228712	6.832605814	12.26885611	16.61207524	11.42891688	7.674847274	13.49714332	18.78922406	11.01253737	12.31575026	13.17091493	14.94397509	10.59237794	12.52182954	6.60559863	7.617846076	5.204509312	4.886363626
FUN_001680	0.2615440179	1.711902604	0.1893939318	0.4761904762	0.3379224043	1.168480658	0	0.3107863014	0.9230621528	0.1855287551	0	0.366300359	0.6637957596	0	0.9558823382	0.1666666667	0	0.1036953248	0.7043650714	0.07440476042	14.37985892	0.2175958624	0.05476451807	1.125024915	0.2081252078	0.2268676061	0.07849293407	1.16570096	0.5958393333	0.311791381	0.2660465882	0.5753606232	0.2808415851	0.5971479559	0.2557544783	0.22645504	1.466450175	0	0	0
