exon_id,n_samples,n_cpgs_nearby,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
gene-Pocillopora_meandrina_HIv1___RNAseq.g21082.t1_1644,32,17,14,14,5-fold,-0.9329220295680212,0.7602222489289798,-1.9493645427408235,2.0906126988895206,1855.9985957971394,0.1,0,-0.9329220295680212,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g21502.t2_4950,32,49,44,44,5-fold,-0.4540453270348651,0.45625882183903516,-0.22136915532867768,0.1728481683598266,133.42915721345577,0.99,2,-0.22136915532867768,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g22346.t1b_10240,32,15,15,15,5-fold,-0.38820113659912653,0.26632994477730365,-0.19551806615016928,0.1383232682240023,1055.905791523174,0.1,0,-0.19551806615016928,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19254.t1_19686,32,29,29,29,5-fold,-16.400905593456677,31.803595294184902,-13.639462372199691,26.346167252955034,1047.9482480324884,0.1,0,-13.639462372199691,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g29374.t1b_24105,32,9,5,5,5-fold,-25.069579429847796,47.7657949253878,-19.827906949838358,37.9656571121458,393.02535417755996,0.1,0,-19.827906949838358,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g17575.t1_158666,32,11,4,4,5-fold,-0.7663715575933489,0.8874474872458402,-0.6901683443769558,0.8251142933428696,84.09471721020294,0.99,1,-0.6901683443769558,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g1108.t1_174148,32,2,2,2,5-fold,-0.4072284848503104,0.5859374440891099,-0.17048354053481685,0.1273167128878493,458.73633314141387,0.1,0,-0.17048354053481685,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g27493.t1_71864,32,10,10,10,5-fold,-4.717476886884238,6.257072716465646,-3.1810614841426377,4.374092994336757,688.147980145758,0.1,0,-3.1810614841426377,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g20250.t1_26033,32,21,18,18,5-fold,-4.63254537608175,8.250321809110336,-4.1147802675910885,7.560443355846679,1229.5027964281405,0.1,0,-4.1147802675910885,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g18286.t1_146244,32,39,39,39,5-fold,-3.041079168970133,3.5136894256099254,-2.9037144172489664,3.4953755031239924,121.70631583894887,0.99,10,-2.9037144172489664,ElasticNet,Ptua
