species,total_exons,total_cpgs,models_built,mean_r2,median_r2,positive_r2_count,r2_gt_0.1,r2_gt_0.2,r2_gt_0.3,best_model_rf,best_model_enet
Apul,209537,6566306,3783,-11.54903733748923,-0.6425223328502355,63,19,8,3,1046,2737
Peve,235943,4751249,2554,-19991.903470595473,-0.35620167772714934,85,23,7,1,753,1801
Ptua,208535,6020191,4216,-24.12116365246044,-0.5308336217193498,94,36,15,9,1621,2595
