exon_id,n_samples,n_cpgs_nearby,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
FUN_025363_114910,39,3,3,3,5-fold,-2.593594629124591,4.375083166228884,-1.7095195353857846,2.523237809270694,52.0515255134033,0.99,1,-1.7095195353857846,ElasticNet,Apul
FUN_007988_37992,39,5,5,5,5-fold,-1.2636482182401574,1.7085174303068518,-2.7100143054661627,3.390177778111371,13.821594876188502,0.1,5,-1.2636482182401574,RF,Apul
FUN_043418_205563,39,9,5,5,5-fold,-0.9002276551304288,0.7915800210291216,-1.8082635707156598,2.6969778201660444,9.978766003562827,0.1,5,-0.9002276551304288,RF,Apul
FUN_043241_204026,39,8,8,8,5-fold,-1.1746608693225569,1.6751217235045497,-0.8855348105837291,1.532420137003055,2.5975242421828324,0.7,8,-0.8855348105837291,ElasticNet,Apul
FUN_023701_106827,39,36,32,32,5-fold,-1.8258873171935697,2.902790696831413,-2.0856990077459616,3.5503557139119137,33.736540360822595,0.95,14,-1.8258873171935697,RF,Apul
FUN_024006_108086,39,6,6,6,5-fold,-0.6136376491270475,1.1855531647827233,-0.4173605389880318,0.6603785020947164,104.82973996990779,0.99,0,-0.4173605389880318,ElasticNet,Apul
FUN_016113_77148,39,11,4,4,5-fold,-2.4005298478312858,4.732031257165016,-2.3436939406951383,4.56681251642864,375.45011502195024,0.1,0,-2.3436939406951383,ElasticNet,Apul
FUN_023183_103534,39,4,4,4,5-fold,-1.7664848432310793,2.375397107640478,-0.7639270529236099,0.9984543862700304,1.3637401513657041,0.1,4,-0.7639270529236099,ElasticNet,Apul
FUN_010883_51893,39,19,12,12,5-fold,-0.08358549284952413,0.2446667177212446,-0.22556707420930294,0.3248307859202084,195.38820279263493,0.99,0,-0.08358549284952413,RF,Apul
FUN_034485_158417,39,5,5,5,5-fold,-0.6268254388841417,0.5865000073069451,-0.4179770578619628,0.40743711618896666,956.7417201934948,0.1,0,-0.4179770578619628,ElasticNet,Apul
