gene_id,n_exons,n_cpgs,n_pairs,mean_correlation,median_correlation,sd_correlation,n_sig_p05,n_sig_fdr10,pct_positive,min_p_adj,species
gene-Pocillopora_meandrina_HIv1___RNAseq.g26900.t1,1,21,21,0.010850876235735087,-0.07988165680473373,0.2656715277329433,2,1,14.285714285714285,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g8539.t1,1,15,15,0.08825682627991369,-0.04634975536174836,0.37045362648071345,2,2,13.333333333333334,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g4543.t1,3,22,22,0.03817198523097483,-0.06179680650595114,0.2809081416484482,2,2,13.636363636363635,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g13124.t1,1,14,14,0.03151843898184629,-0.043174877680874184,0.2789124254356693,1,1,7.142857142857142,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g16118.t1,2,12,12,0.09586445735078568,-0.05140163693778031,0.36204746071978494,2,2,16.666666666666664,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g12899.t1,1,11,11,0.07186857857453774,-0.06014065304058601,0.3334297690204656,1,1,18.181818181818183,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g25638.t1,2,45,45,0.09384172989109807,-0.0577049800645107,0.3050974071842631,6,4,33.33333333333333,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g13197.t1,1,16,16,0.6256828207510781,0.8307735917232231,0.4483252014327176,12,8,75.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g6641.t1,4,28,28,0.1341955040358375,-0.032258064516129024,0.2854862577329102,6,2,46.42857142857143,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g6208.t1,1,14,14,0.48768166506596755,0.5113149944646115,0.47254481091077044,7,7,71.42857142857143,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g1282.t1,1,6,6,0.41144980289509947,0.4193429353832058,0.4204942795930501,3,2,66.66666666666666,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g14052.t1,2,21,21,-0.024190179115502714,-0.07636592106421175,0.23645268681975723,1,1,4.761904761904762,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g8910.t2,3,39,39,0.07591215553000372,-0.04545454545454546,0.2736137432142625,6,1,33.33333333333333,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19299.t1a,3,23,23,0.04505870736580324,-0.01191399187684057,0.27345963862523087,1,1,47.82608695652174,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g3026.t1,4,42,42,0.07419266736947534,-0.049599651877798356,0.24781722970585052,8,1,28.57142857142857,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g24518.t1,10,155,155,-0.0384642159188959,-0.07006387765248434,0.1812721625974218,4,2,18.064516129032256,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g17893.t1,32,211,211,0.014673679510109542,-0.0100413658442346,0.19302342427747768,6,1,45.97156398104265,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g13748.t1,21,159,159,-0.002718530017192634,-0.07830567341835498,0.17919518039502103,5,2,35.22012578616352,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g24386.t1,1,23,23,0.20275492169573292,0.264424074781781,0.3014510716681858,10,1,56.52173913043478,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g18236.t1,4,24,24,0.10218299769004202,-0.06892827280530912,0.32938354733148295,6,1,29.166666666666668,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g27323.t1,1,10,10,0.29835886018616753,0.2519379696053566,0.2597789601708218,1,1,100.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g27370.t1,2,17,17,0.01552744371700729,-0.04634975536174836,0.254108524602086,1,1,5.88235294117647,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g14432.t1,5,34,34,0.04052947356815051,-0.039846375068385106,0.21349349135466508,1,1,44.11764705882353,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g9816.t1,1,2,2,0.4827586206896552,0.4827586206896552,0.731489773641256,1,1,50.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g5994.t1,1,14,14,0.18525949785017384,-0.05044176088584551,0.3437825593446044,3,2,42.857142857142854,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g10923.t1,2,20,20,0.19827694200460716,0.22871117661540355,0.265588870069209,2,2,80.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g3436.t1,1,6,6,0.15807040415343224,-0.034482758620689655,0.42031043884290237,1,1,33.33333333333333,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g27232.t1,3,56,56,-0.032302675426633586,-0.04388287404490926,0.22079657603967293,2,1,42.857142857142854,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g13291.t1,1,10,10,0.6043099319552373,0.8297525541044981,0.4782966539963498,7,5,70.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g4963.t1,3,44,44,-0.004461800441867374,-0.0769432843975783,0.2273675791574181,4,1,15.909090909090908,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g2303.t1,2,5,5,0.338062475995096,0.2600782433051497,0.5124607351544255,2,2,80.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g9636.t1,20,168,168,0.015097024037515228,-0.06659729448491156,0.2016760186372219,11,4,30.952380952380953,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g10906.t1,3,25,25,0.0116391757722362,-0.07008468973601258,0.2642624601337568,2,1,28.000000000000004,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g28315.t1,27,338,338,0.04473012314592429,-0.029673444699543857,0.21269943225809995,28,5,46.74556213017752,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g7744.t1,1,4,4,0.9130279883946312,1.0,0.1739440232107376,4,3,100.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g23697.t1,2,25,25,-0.013361843943311405,-0.04791968589521739,0.2130946149495677,1,1,4.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g14400.t1,9,47,47,-0.0263574872793792,-0.05263157894736842,0.18453248846621245,2,1,8.51063829787234,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g14949.t1,1,28,28,-0.003224412782046772,-0.058074719961072156,0.2341735249814548,2,1,7.142857142857142,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g17577.t1,2,86,86,0.05614707883137272,-0.06771459406902497,0.26765055660114,12,3,30.23255813953488,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g498.t1,1,12,12,0.09345006282208573,-0.0442357435122005,0.34034751763007404,2,1,16.666666666666664,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g5827.t1,1,3,3,0.2996662370614738,-0.049599651877798356,0.6065074990643281,1,1,33.33333333333333,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g231.t1,6,40,40,0.010817152903401059,-0.046373889576016826,0.22050135911428834,2,1,30.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g18278.t1,4,8,8,0.2762552861479099,0.2895210389027701,0.4274888504896325,2,1,62.5,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g21581.t1,10,42,42,0.02151008913941273,-0.05867707520140664,0.22313387537987675,3,1,19.047619047619047,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g12619.t1,1,11,11,0.6324984504240304,0.6595051082089965,0.3934538415550796,9,4,81.81818181818183,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g9591.t1,7,54,54,0.013050550109996069,-0.05379476395446661,0.24579258057593698,4,2,33.33333333333333,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g10458.t1,1,1,1,1.0,1.0,,1,1,100.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g10051.t1,2,22,22,0.025821077313997007,-0.07986777855718052,0.2810854206996536,2,1,18.181818181818183,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g27524.t1,1,19,19,0.07537763523265824,-0.04000000000000001,0.2926677308744525,2,1,31.57894736842105,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g28866.t1,1,10,10,0.4982920149055314,0.5922843439499353,0.4992785716686637,6,5,60.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g21300.t1,2,10,10,0.18536921815289337,-0.03333333333333333,0.40552324692048086,3,2,30.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g8763.t1,1,4,4,0.6194705685943747,0.7550701694468137,0.49203949932035634,3,2,75.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g24877.t1,6,22,22,0.11041815530078897,-0.0339080459770115,0.2870561874638535,3,2,40.909090909090914,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19101.t1,2,6,6,0.7309536832057155,1.0,0.431066717334732,4,4,100.0,0.0,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g12848.t1,2,10,10,0.08912896810827015,-0.051103831183361315,0.34065714544915326,1,1,40.0,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g25265.t1a,6,41,41,-0.0011747387297791278,-0.06888888888888889,0.21791801006657593,4,1,14.634146341463413,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g8945.t1,11,87,87,0.06497594288423525,-0.046373889576016826,0.23021359114884754,10,1,40.229885057471265,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g12917.t1,9,42,42,0.06857672210244724,-0.05140163693778031,0.28891048258676916,6,3,26.190476190476193,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g29554.t1,3,34,34,0.05882070862188715,-0.03279569892473118,0.2399673271510858,4,1,47.05882352941176,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g30033.t2,1,19,19,0.1752467274859276,-0.057684308389097425,0.35324388206212054,7,2,36.84210526315789,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g9939.t1,1,47,47,0.10659695059209515,-0.04634975536174836,0.28497079589792446,10,5,27.659574468085108,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g24822.t1,4,29,29,-0.0029781026627531204,-0.08288326104343575,0.246063693374527,2,1,17.24137931034483,1.9741087032269564e-232,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g23648.t1,4,13,13,0.08115614299859958,-0.03333333333333333,0.29234629880364726,1,1,38.46153846153847,1.9741087032269564e-232,Ptua
