species,total_exons,total_cpgs,exon_cpg_pairs,correlations_tested,sig_p05,sig_fdr10,mean_correlation,positive_correlations,negative_correlations
Apul,209537,6566306,909352,735687,39939,1241,0.014803772014975045,371892,359994
Peve,235943,4751249,515316,391264,18135,950,0.0012893430084509063,181231,207604
Ptua,208535,6020191,1076897,929802,39969,817,0.006195009394467917,458220,467708
