gene_id,n_exons,n_cpgs,n_pairs,mean_correlation,median_correlation,sd_correlation,n_sig_p05,n_sig_fdr10,pct_positive,min_p_adj,species
gene-Peve_00029463,2,10,10,0.2538958506691096,-0.05000000000000001,0.4287773487642031,4,3,40.0,0.0,Peve
gene-Peve_00000450,1,1,1,1.0,1.0,,1,1,100.0,0.0,Peve
gene-Peve_00018962,1,34,34,-0.01864474381934579,-0.04446640316205534,0.18034625780929478,1,1,2.941176470588235,0.0,Peve
gene-Peve_00035964,1,1,1,1.0,1.0,,1,1,100.0,0.0,Peve
gene-Peve_00018350,3,12,12,0.0270986079219795,-0.07948058978115205,0.32111600967967796,1,1,16.666666666666664,0.0,Peve
gene-Peve_00035968,1,7,7,0.3045746413570929,0.3084871135069602,0.43412035401636345,3,2,57.14285714285714,0.0,Peve
gene-Peve_00036068,1,28,28,0.07851594666445993,-0.0494549883752722,0.2883100452400419,6,2,21.428571428571427,0.0,Peve
gene-Peve_00036099,21,50,50,0.03946494874536261,-0.06906178318207284,0.26300341449148185,4,2,28.000000000000004,0.0,Peve
gene-Peve_00036217,1,21,21,0.08983561605358573,-0.049599651877798356,0.32313185425733715,4,3,19.047619047619047,0.0,Peve
gene-Peve_00030842,6,40,40,0.041974168989724926,0.017931545866974388,0.24265703140701464,1,1,52.5,0.0,Peve
gene-Peve_00018226,1,17,17,0.2571892485005007,0.3431799731356022,0.34859683906138444,6,1,58.82352941176471,0.0,Peve
gene-Peve_00017599,2,17,17,0.11673255006858187,-0.04347826086956522,0.3349987658925131,4,1,23.52941176470588,0.0,Peve
gene-Peve_00037005,2,7,7,0.28333882870154575,-0.05000000000000001,0.43931373837839766,3,1,42.857142857142854,0.0,Peve
gene-Peve_00037055,2,4,4,0.2564260799256287,0.05833555302163027,0.51140656526608,1,1,50.0,0.0,Peve
gene-Peve_00017240,1,13,13,0.1844528017020781,-0.049629166698546515,0.34472726162275746,3,1,46.15384615384615,0.0,Peve
gene-Peve_00000500,5,11,11,0.16839851415833446,-0.05000000000000001,0.418643723559852,3,2,36.36363636363637,0.0,Peve
gene-Peve_00017238,3,32,32,0.4867437074260769,0.594783637052305,0.32290952992876376,21,9,81.25,0.0,Peve
gene-Peve_00027248,3,54,54,0.17529729228459548,-0.05555553909366248,0.3435895389397404,17,4,40.74074074074074,0.0,Peve
gene-Peve_00038453,6,12,12,0.012902718251216888,-0.1155228855253625,0.33420094297347996,1,1,16.666666666666664,0.0,Peve
gene-Peve_00038447,3,38,38,-0.0077098958495084476,-0.07147754534348319,0.26130894797013277,2,2,10.526315789473683,0.0,Peve
gene-Peve_00031948,2,55,55,-0.02230602132826151,-0.06281001030561872,0.19515882829512268,3,2,5.454545454545454,0.0,Peve
gene-Peve_00014516,2,2,2,0.4545166068296272,0.4545166068296272,0.7714300126708367,1,1,50.0,0.0,Peve
gene-Peve_00030538,1,4,4,0.5811566227870664,0.6886290350478169,0.5144970533500657,2,2,75.0,0.0,Peve
gene-Peve_00038345,9,21,21,0.06343510156568621,-0.03300882673581074,0.25873086205835266,1,1,42.857142857142854,0.0,Peve
gene-Peve_00035613,2,9,9,0.08644501360342166,-0.07207099718229357,0.3649492619328089,1,1,22.22222222222222,0.0,Peve
gene-Peve_00014716,7,36,36,0.11221026288147648,-0.06281001030561872,0.3364354077852636,6,4,36.11111111111111,0.0,Peve
